Freq.	2*pi*freq*V(v2)
1.00000000000000e+002	(2.64053014881006e+002dB,-1.40031830968999e+002°)
1.01664043939194e+002	(2.64285591925370e+002dB,-1.40739060406623e+002°)
1.03355778300703e+002	(2.64516797787245e+002dB,-1.41453078927563e+002°)
1.05075663865322e+002	(2.64746608276616e+002dB,-1.42173835522467e+002°)
1.06824169081440e+002	(2.64974999259310e+002dB,-1.42901274971496e+002°)
1.08601770192634e+002	(2.65201946679286e+002dB,-1.43635337817931e+002°)
1.10408951367381e+002	(2.65427426581265e+002dB,-1.44375960347903e+002°)
1.12246204830937e+002	(2.65651415133640e+002dB,-1.45123074576377e+002°)
1.14114030999401e+002	(2.65873888651614e+002dB,-1.45876608239540e+002°)
1.16012938616016e+002	(2.66094823620519e+002dB,-1.46636484793696e+002°)
1.17943444889736e+002	(2.66314196719265e+002dB,-1.47402623420755e+002°)
1.19906075636100e+002	(2.66531984843851e+002dB,-1.48174939040382e+002°)
1.21901365420448e+002	(2.66748165130897e+002dB,-1.48953342328840e+002°)
1.23929857703521e+002	(2.66962714981130e+002dB,-1.49737739744534e+002°)
1.25992104989487e+002	(2.67175612082779e+002dB,-1.50528033560254e+002°)
1.28088668976427e+002	(2.67386834434811e+002dB,-1.51324121902052e+002°)
1.30220120709323e+002	(2.67596360369966e+002dB,-1.52125898794715e+002°)
1.32387040735597e+002	(2.67804168577525e+002dB,-1.52933254213718e+002°)
1.34590019263236e+002	(2.68010238125770e+002dB,-1.53746074143550e+002°)
1.36829656321545e+002	(2.68214548484081e+002dB,-1.54564240642275e+002°)
1.39106561924583e+002	(2.68417079544611e+002dB,-1.55387631912159e+002°)
1.41421356237309e+002	(2.68617811643517e+002dB,-1.56216122376181e+002°)
1.43774669744502e+002	(2.68816725581677e+002dB,-1.57049582760227e+002°)
1.46167143422481e+002	(2.69013802644871e+002dB,-1.57887880180747e+002°)
1.48599428913695e+002	(2.69209024623378e+002dB,-1.58730878237629e+002°)
1.51072188704209e+002	(2.69402373830960e+002dB,-1.59578437112058e+002°)
1.53586096304149e+002	(2.69593833123199e+002dB,-1.60430413669088e+002°)
1.56141836431142e+002	(2.69783385915167e+002dB,-1.61286661564651e+002°)
1.58740105196820e+002	(2.69971016198382e+002dB,-1.62147031356750e+002°)
1.61381610296417e+002	(2.70156708557071e+002dB,-1.63011370620535e+002°)
1.64067071201528e+002	(2.70340448183675e+002dB,-1.63879524066991e+002°)
1.66797219356069e+002	(2.70522220893620e+002dB,-1.64751333664963e+002°)
1.69572798375507e+002	(2.70702013139331e+002dB,-1.65626638766227e+002°)
1.72394564249395e+002	(2.70879812023468e+002dB,-1.66505276233361e+002°)
1.75263285547287e+002	(2.71055605311413e+002dB,-1.67387080570121e+002°)
1.78179743628068e+002	(2.71229381442970e+002dB,-1.68271884054106e+002°)
1.81144732852781e+002	(2.71401129543312e+002dB,-1.69159516871432e+002°)
1.84159060800986e+002	(2.71570839433153e+002dB,-1.70049807253218e+002°)
1.87223548490721e+002	(2.71738501638170e+002dB,-1.70942581613653e+002°)
1.90339030602124e+002	(2.71904107397672e+002dB,-1.71837664689438e+002°)
1.93506355704778e+002	(2.72067648672526e+002dB,-1.72734879680437e+002°)
1.96726386488838e+002	(2.72229118152357e+002dB,-1.73634048391348e+002°)
