Freq	Mag Phase
1.00000000000000e+002	6.80892238746189e+001  -1.40035635950638e+002
1.01664043939194e+002	6.81784476919516e+001  -1.40742917052504e+002
1.03355778300703e+002	6.82663001728082e+001  -1.41456987576051e+002
1.05075663865322e+002	6.83527571240400e+001  -1.42177796496559e+002
1.06824169081440e+002	6.84377944083413e+001  -1.42905288577901e+002
1.08601770192634e+002	6.85213879665505e+001  -1.43639404346132e+002
1.10408951367381e+002	6.86035138402817e+001  -1.44380080069191e+002
1.12246204830937e+002	6.86841481948400e+001  -1.45127247742872e+002
1.14114030999401e+002	6.87632673423676e+001  -1.45880835083189e+002
1.16012938616016e+002	6.88408477651703e+001  -1.46640765525252e+002
1.17943444889736e+002	6.89168661391680e+001  -1.47406958228744e+002
1.19906075636100e+002	6.89912993574168e+001  -1.48179328090051e+002
1.21901365420448e+002	6.90641245536456e+001  -1.48957785761091e+002
1.23929857703521e+002	6.91353191257521e+001  -1.49742237674853e+002
1.25992104989487e+002	6.92048607592021e+001  -1.50532586077620e+002
1.28088668976427e+002	6.92727274502767e+001  -1.51328729067848e+002
1.30220120709323e+002	6.93388975291124e+001  -1.52130560641630e+002
1.32387040735597e+002	6.94033496824815e+001  -1.52937970744643e+002
1.34590019263236e+002	6.94660629762578e+001  -1.53750845330483e+002
1.36829656321545e+002	6.95270168775209e+001  -1.54569066425218e+002
1.39106561924583e+002	6.95861912762468e+001  -1.55392512198031e+002
1.41421356237309e+002	6.96435665065410e+001  -1.56221057037732e+002
1.43774669744502e+002	6.96991233673697e+001  -1.57054571634970e+002
1.46167143422481e+002	6.97528431427479e+001  -1.57892923069901e+002
1.48599428913695e+002	6.98047076213478e+001  -1.58735974905088e+002
1.51072188704209e+002	6.98546991154921e+001  -1.59583587283379e+002
1.53586096304149e+002	6.99028004795018e+001  -1.60435617030504e+002
1.56141836431142e+002	6.99489951273706e+001  -1.61291917762122e+002
1.58740105196820e+002	6.99932670497419e+001  -1.62152339995044e+002
1.61381610296417e+002	7.00356008301687e+001  -1.63016731262353e+002
1.64067071201528e+002	7.00759816606379e+001  -1.63884936232135e+002
1.66797219356069e+002	7.01143953563481e+001  -1.64756796829547e+002
1.69572798375507e+002	7.01508283697282e+001  -1.65632152361955e+002
1.72394564249395e+002	7.01852678036919e+001  -1.66510839646845e+002
1.75263285547287e+002	7.02177014241235e+001  -1.67392693142280e+002
1.78179743628068e+002	7.02481176715948e+001  -1.68277545079614e+002
1.81144732852781e+002	7.02765056723130e+001  -1.69165225598250e+002
1.84159060800986e+002	7.03028552483058e+001  -1.70055562882198e+002
1.87223548490721e+002	7.03271569268477e+001  -1.70948383298219e+002
1.90339030602124e+002	7.03494019491357e+001  -1.71843511535354e+002
1.93506355704778e+002	7.03695822782229e+001  -1.72740770745664e+002
1.96726386488838e+002	7.03876906062206e+001  -1.73639982685989e+002
2.00000000000000e+002	7.04037203607774e+001  -1.74540967860601e+002
2.03328087878387e+002	7.04176657108479e+001  -1.75443545664582e+002
2.06711556601405e+002	7.04295215717604e+001  -1.76347534527835e+002
2.10151327730644e+002	7.04392836095938e+001  -1.77252752059595e+002
2.13648338162880e+002	7.04469482448735e+001  -1.78159015193356e+002
2.17203540385267e+002	7.04525126555951e+001  -1.79066140332129e+002
2.20817902734762e+002	7.04559747795824e+001  -1.79973943493956e+002
2.24492409661874e+002	7.04573333161869e+001  1.79117759542383e+002
2.28228061998802e+002	7.04565877273317e+001  1.78209153091535e+002
2.32025877232032e+002	7.04537382379052e+001  1.77300421415652e+002
2.35886889779473e+002	7.04487858355021e+001  1.76391748578448e+002
2.39812151272200e+002	7.04417322695152e+001  1.75483318299276e+002
2.43802730840895e+002	7.04325800495715e+001  1.74575313807276e+002
2.47859715407041e+002	7.04213324433125e+001  1.73667917695666e+002
2.51984209978974e+002	7.04079934735094e+001  1.72761311776217e+002
2.56177337952854e+002	7.03925679145090e+001  1.71855676934001e+002
2.60440241418646e+002	7.03750612880009e+001  1.70951192982480e+002
2.64774081471194e+002	7.03554798580957e+001  1.70048038519034e+002
2.69180038526471e+002	7.03338306257064e+001  1.69146390781033e+002
2.73659312643089e+002	7.03101213222202e+001  1.68246425502564e+002
2.78213123849165e+002	7.02843604024517e+001  1.67348316771956e+002
2.82842712474619e+002	7.02565570368658e+001  1.66452236890241e+002
2.87549339489003e+002	7.02267211030609e+001  1.65558356230725e+002
2.92334286844961e+002	7.01948631765030e+001  1.64666843099841e+002
