% f1080.txt
% Date Wed, Jun 23, 2021 4:21 PM
% Ascending Sine seq
% Response spectrum
% Stim level (V pk) 1.000, 0 dB filter gain, 120.0 dB attenuation
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
100.000000	-112.200159	0.178561	-25.197901	0.461115	-108.182702	0.375044	-16.290679	-0.266149
200.000000	-118.241022	0.233895	-31.782719	0.342401	-108.260106	-0.028057	-18.437227	-0.254979
300.000000	-107.795246	-0.242643	-31.474459	0.298588	-95.114567	-0.377205	-18.469592	-0.246488
400.000000	-117.816792	0.294192	-31.955890	0.285414	-112.176766	0.232947	-18.423728	-0.240720
500.000000	-111.739719	0.209833	-32.099409	0.272117	-114.326112	0.443642	-18.328092	-0.236558
600.000000	-117.193357	0.224178	-31.575369	0.274452	-109.070173	0.112523	-18.210942	-0.233493
700.000000	-115.047854	0.077465	-31.008537	0.253016	-113.189204	-0.438531	-18.113672	-0.230986
800.000000	-115.510647	0.361521	-31.280241	0.237096	-113.348614	0.115551	-18.005698	-0.228551
900.000000	-110.944614	0.196360	-31.343238	0.229540	-108.433657	0.085734	-17.889249	-0.226599
1000.000000	-114.471200	0.063787	-31.176089	0.225358	-114.212509	-0.231271	-17.774759	-0.224953
1100.000001	-132.072773	0.155780	-31.212744	0.217715	-128.114180	-0.003130	-17.661744	-0.223542
1200.000001	-119.095056	0.196712	-31.148853	0.212257	-120.384185	0.338599	-17.551482	-0.222334
1300.000001	-117.152548	0.238949	-30.929334	0.206394	-120.069010	0.239849	-17.443792	-0.221292
1400.000001	-120.778804	0.085281	-30.871546	0.206538	-112.928427	-0.019358	-17.337878	-0.220408
1500.000001	-113.010294	0.180577	-30.215862	0.204391	-120.699374	0.250095	-17.237941	-0.219688
1600.000001	-113.808412	0.283871	-29.905631	0.194442	-119.284631	0.445661	-17.141381	-0.219024
1700.000001	-122.170511	0.231229	-29.492815	0.190537	-116.805417	0.233352	-17.046465	-0.218481
1800.000001	-117.201410	0.300642	-29.008941	0.184126	-129.486750	0.212233	-16.955165	-0.218007
1900.000001	-119.265397	0.220793	-28.537743	0.178283	-127.882993	-0.376165	-16.866069	-0.217614
2000.000001	-124.968382	-0.086107	-27.965752	0.172880	-114.343708	-0.318565	-16.779719	-0.217296
2100.000001	-118.429359	0.189896	-27.142605	0.165810	-121.552226	0.193247	-16.696080	-0.217039
2200.000001	-118.219036	0.408387	-26.293824	0.148272	-122.362623	-0.435649	-16.616090	-0.216841
2300.000001	-118.190070	0.131007	-26.458293	0.145017	-118.496370	0.092568	-16.538089	-0.216686
2400.000001	-120.147007	0.180163	-25.161988	0.148113	-118.740981	0.038328	-16.462203	-0.216575
2500.000001	-128.986477	0.134549	-23.475439	0.139686	-126.422855	-0.454342	-16.385687	-0.216503
2600.000001	-113.051375	0.175043	-21.406731	0.124567	-113.046173	0.064258	-16.313256	-0.216477
2700.000001	-118.678864	0.123530	-18.629699	0.095935	-119.749284	-0.495001	-16.239040	-0.216541
2800.000001	-132.305353	0.138567	-15.255131	0.029881	-119.730059	0.080367	-16.164138	-0.216831
2900.000001	-119.995165	-0.147965	-14.158392	-0.093248	-119.421394	0.082488	-16.122585	-0.217281
3000.000001	-127.609139	0.093905	-17.467319	-0.194704	-126.226587	-0.039600	-16.087046	-0.217111
3100.000001	-118.118940	0.294059	-21.730995	-0.235641	-116.504586	0.345612	-16.029858	-0.216946
3200.000001	-119.056134	0.044255	-23.950054	-0.264623	-120.410710	-0.239766	-15.971225	-0.216942
3300.000002	-120.010967	0.153452	-27.065705	-0.283574	-121.957622	0.380845	-15.914492	-0.216991
3400.000002	-125.717715	0.469010	-29.664491	-0.291800	-118.734502	0.385450	-15.860105	-0.217084
3500.000002	-115.149710	0.243131	-32.179744	-0.296832	-122.881397	0.146876	-15.807210	-0.217202
3600.000002	-116.138353	0.185690	-34.609856	-0.295296	-121.429807	0.232429	-15.755501	-0.217340
3700.000002	-127.177903	0.142906	-37.212467	-0.289005	-114.012546	0.078166	-15.706654	-0.217492
3800.000002	-119.798287	0.176299	-40.284719	-0.265291	-118.105475	0.093157	-15.658490	-0.217654
3900.000002	-122.192138	0.027644	-43.191983	-0.197120	-126.428031	-0.124516	-15.612122	-0.217832
4000.000002	-117.659966	0.114606	-41.194558	-0.090122	-118.719293	-0.113914	-15.566933	-0.218021
4100.000002	-113.259300	0.184269	-35.477498	-0.076365	-113.635648	0.110293	-15.523128	-0.218227
4200.000002	-115.885450	0.327726	-32.296118	-0.149352	-114.728543	-0.038802	-15.481732	-0.218442
4300.000002	-119.588768	-0.163782	-33.371906	-0.217240	-119.223095	-0.034436	-15.441867	-0.218637
4400.000002	-114.823242	0.160752	-35.295055	-0.249821	-109.136275	0.051987	-15.402406	-0.218835
4500.000002	-121.424264	0.153458	-37.292687	-0.266494	-123.186163	-0.435672	-15.363597	-0.219040
4600.000002	-126.909060	-0.021873	-39.216239	-0.271999	-116.941127	0.158395	-15.325641	-0.219253
4800.000002	-117.722709	0.241582	-42.502629	-0.260211	-108.496161	0.161522	-15.251372	-0.219702
4900.000002	-119.494431	0.238136	-43.850978	-0.250427	-125.895710	-0.125088	-15.215793	-0.219928
5000.000002	-115.511374	0.061531	-45.225186	-0.235135	-118.151927	0.112931	-15.181172	-0.220158
5100.000002	-131.131654	0.039353	-46.438541	-0.214977	-116.824054	0.039658	-15.147439	-0.220393
5300.000002	-116.225980	0.079345	-47.566279	-0.151446	-118.259607	0.090461	-15.082638	-0.220871
5400.000002	-112.527528	0.210761	-47.208851	-0.120164	-115.352833	0.103443	-15.050829	-0.221111
5500.000003	-114.128739	0.163682	-46.146754	-0.103354	-131.185272	-0.046748	-15.019714	-0.221355
5700.000003	-117.502977	0.442651	-45.007431	-0.094395	-113.994609	0.203355	-14.955702	-0.221886
5800.000003	-110.845384	0.243517	-44.759203	-0.089050	-114.544309	0.181179	-14.938237	-0.222157
5900.000003	-118.778182	0.109180	-44.486311	-0.082904	-118.824525	0.229618	-14.906261	-0.222353
6100.000003	-113.533279	0.088550	-44.481127	-0.074881	-112.852418	0.046741	-14.850599	-0.222847
6200.000003	-128.821484	0.183132	-44.510654	-0.061913	-117.987273	0.033543	-14.823658	-0.223100
6400.000003	-110.152803	0.112429	-43.636358	-0.037573	-111.576305	0.120463	-14.771749	-0.223607
6600.000003	-113.747602	0.151320	-42.478445	-0.016427	-114.282900	0.123379	-14.721557	-0.224119
6700.000003	-108.611980	0.216024	-41.658971	-0.007381	-112.716876	0.114642	-14.697396	-0.224371
6900.000003	-117.230587	0.183780	-39.724026	0.002382	-108.954870	0.193019	-14.648985	-0.224891
7100.000003	-110.824258	0.137350	-36.763113	-0.014136	-110.769644	0.227173	-14.607289	-0.225416
7200.000003	-112.629973	0.171329	-36.544952	-0.029919	-109.342186	0.073067	-14.584676	-0.225664
7400.000003	-111.344395	0.228667	-37.121936	-0.037173	-113.681977	0.198045	-14.541845	-0.226178
7600.000004	-112.263743	0.223174	-35.539658	-0.018487	-107.617357	0.171423	-14.499180	-0.226689
7800.000004	-110.834689	0.123625	-34.148174	-0.016736	-111.174448	0.191770	-14.459968	-0.227219
8000.000004	-109.532309	0.132085	-31.890562	-0.010591	-109.681586	0.094184	-14.420075	-0.227719
8200.000004	-108.163411	0.244487	-29.339905	-0.024257	-110.970414	0.185747	-14.381668	-0.228237
8400.000004	-109.827397	0.244038	-27.010436	-0.040674	-107.736581	0.274204	-14.344615	-0.228761
8600.000004	-107.998813	0.300787	-23.791711	-0.062355	-108.164233	0.208649	-14.309520	-0.229290
8800.000004	-107.027029	0.273320	-20.064539	-0.124123	-107.597716	0.245801	-14.275812	-0.229831
9100.000004	-105.661252	0.236337	-19.716425	-0.269243	-106.182711	0.139331	-14.229267	-0.230585
9300.000004	-106.685801	0.188074	-21.648996	-0.321161	-106.871545	0.157261	-14.196946	-0.231077
9500.000004	-104.241357	0.217215	-23.212920	-0.347336	-108.545354	0.196353	-14.165561	-0.231578
9700.000004	-105.785166	0.175542	-24.155627	-0.362030	-105.381409	0.104647	-14.135585	-0.232078
10000.000005	-104.238816	0.187237	-24.720997	-0.375878	-105.602352	0.140584	-14.091097	-0.232845
10200.000005	-108.119507	0.193422	-24.319707	-0.383261	-105.047699	0.180395	-14.062103	-0.233351
10500.000005	-103.190247	0.179989	-23.383053	-0.402896	-104.449383	0.159314	-14.020745	-0.234110
10800.000005	-104.614649	0.163211	-21.454279	-0.424527	-103.744170	0.149422	-13.980328	-0.234879
11000.000005	-104.137405	0.165450	-19.312975	-0.447837	-104.349732	0.101109	-13.953802	-0.235389
11300.000005	-103.118299	0.135860	-14.400867	0.464719	-103.426248	0.067614	-13.916381	-0.236223
11600.000005	-113.242652	-0.043807	-15.035062	0.263252	-111.376522	0.051826	-13.888974	-0.236972
11900.000005	-109.250851	0.204256	-21.354121	0.175588	-110.764475	0.237337	-13.853220	-0.237646
12200.000006	-104.893505	0.204975	-25.827117	0.145177	-104.454721	0.180131	-13.818649	-0.238381
12500.000006	-103.450214	0.258587	-29.163256	0.133811	-105.445257	0.197062	-13.785810	-0.239119
12800.000006	-105.830092	0.241166	-31.572274	0.135910	-103.482711	0.196450	-13.754668	-0.239863
13100.000006	-103.103253	0.218617	-32.475991	0.145574	-102.058031	0.205410	-13.724232	-0.240603
13400.000006	-104.300670	0.216714	-32.408604	0.132943	-103.203201	0.143664	-13.694632	-0.241346
13800.000006	-101.934200	0.234581	-33.025387	0.103908	-104.673820	0.166999	-13.657263	-0.242324
14100.000006	-101.654140	0.228235	-33.284888	0.079429	-101.729278	0.177968	-13.630166	-0.243062
14500.000007	-100.367703	0.231787	-34.073936	0.040424	-100.852187	0.195055	-13.595366	-0.244045
14800.000007	-101.476680	0.220150	-35.123467	0.012027	-101.775500	0.169077	-13.569865	-0.244773
15200.000007	-100.604531	0.217387	-37.634244	-0.008115	-101.004901	0.161273	-13.537293	-0.245748
15600.000007	-99.449470	0.228581	-38.495071	0.003058	-101.275903	0.191880	-13.506087	-0.246723
16000.000007	-99.374952	0.228999	-37.993925	-0.001464	-99.091954	0.202896	-13.476010	-0.247692
16400.000008	-97.760779	0.227909	-37.333685	-0.021981	-98.930138	0.189452	-13.447101	-0.248658
16800.000008	-97.190192	0.240742	-37.398604	-0.065429	-98.495144	0.205120	-13.418942	-0.249628
17200.000008	-97.256836	0.227791	-38.453981	-0.086203	-99.184933	0.172687	-13.391759	-0.250597
17700.000008	-97.331227	0.243629	-39.143315	-0.121691	-97.707693	0.188482	-13.359263	-0.251801
18100.000008	-96.166780	0.212177	-40.670497	-0.143405	-97.528729	0.195758	-13.333793	-0.252755
18600.000009	-96.383862	0.235692	-42.574794	-0.162004	-96.887188	0.199353	-13.303479	-0.253967
19000.000009	-95.705473	0.218335	-44.078495	-0.141042	-96.221088	0.202239	-13.280096	-0.254926
19500.000009	-95.657251	0.220057	-44.088835	-0.132788	-95.913928	0.197051	-13.251569	-0.256122
