% f2472.txt
% Date Wed, Jun 23, 2021 6:23 PM
% Sine
% Response spectrum
% Stim level (V pk) 1.000, 0 dB filter gain, 120.0 dB attenuation
% Stim RMS (V) 0.000
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
100.000000	-118.616351	0.180582	-115.435620	0.154774	-68.031792	0.418808	-111.782935	0.272170
200.000000	-123.290931	0.164300	-122.326266	-0.488562	-70.697225	0.439427	-132.317409	0.302911
300.000000	-111.193978	-0.280390	-107.194689	0.005828	-54.759608	-0.096615	-110.437390	0.347044
400.000000	-121.507119	0.012150	-121.706861	0.494928	-70.324546	0.337563	-114.650918	-0.119078
500.000000	-117.120080	0.282097	-119.925658	0.265731	-69.342808	-0.000909	-121.108837	-0.238848
600.000000	-113.986412	0.138756	-110.576314	0.124739	-65.928046	0.166378	-113.940976	-0.001794
700.000000	-117.074083	-0.199899	-116.249237	-0.098286	-67.045684	0.427361	-133.104411	-0.391928
800.000000	-122.661204	-0.016484	-118.908270	-0.184422	-76.769115	0.071587	-125.712782	-0.378426
900.000000	-128.197220	-0.488841	-115.224635	-0.494384	-73.887084	-0.349055	-122.742779	0.084266
1000.000000	-112.067391	0.090895	-118.738079	0.246603	-22.829658	0.364728	-17.664984	-0.225033
1100.000001	-126.701145	-0.151339	-131.576223	-0.370976	-66.250583	-0.087205	-119.455913	-0.280936
1200.000001	-125.582174	0.418310	-117.752933	0.223127	-67.146456	0.330509	-115.435251	-0.438896
1300.000001	-122.248657	0.497603	-123.759318	-0.356716	-70.671831	0.339594	-121.789343	0.473197
1400.000001	-128.648399	0.189440	-123.535750	0.410414	-73.913311	-0.104272	-130.690657	0.451943
1500.000001	-141.457316	0.091166	-111.210674	-0.164169	-77.931714	0.057196	-124.656429	0.361059
1600.000001	-129.631866	0.008363	-130.590326	0.379956	-74.858013	0.207068	-120.444712	0.468396
1700.000001	-121.342625	-0.118492	-122.136905	-0.126010	-66.707472	-0.127408	-122.388748	-0.167459
1800.000001	-117.489653	-0.327516	-122.959484	0.490577	-72.326704	-0.020292	-115.692827	-0.490466
1900.000001	-117.912933	-0.236160	-127.010998	-0.028401	-77.761390	0.155494	-115.921290	0.324282
2000.000001	-113.762398	0.052929	-109.097012	0.265530	-58.092547	0.009588	-55.455090	-0.473197
2100.000001	-126.119023	-0.040486	-123.784331	-0.120003	-68.839144	0.480234	-116.757154	-0.268259
2200.000001	-122.440299	-0.105507	-116.394099	-0.075547	-70.698893	0.025944	-116.527395	-0.057081
2300.000001	-121.213262	0.318033	-130.165480	0.299054	-88.832032	0.214864	-126.130987	0.102962
2400.000001	-116.459315	0.445738	-120.413867	0.406917	-73.456826	0.298224	-117.903088	-0.017869
2500.000001	-118.919442	0.272676	-117.787969	-0.311966	-75.028790	-0.222656	-122.267603	-0.448057
2600.000001	-116.821186	0.407598	-121.368884	-0.153988	-74.034230	-0.052836	-114.785366	0.484667
2700.000001	-117.265823	0.121081	-117.246477	-0.078899	-71.746372	-0.041317	-120.292799	0.157365
2800.000001	-121.702614	-0.175440	-117.031692	-0.295772	-70.749699	-0.160896	-113.967061	-0.321152
2900.000001	-130.052504	0.498644	-119.847233	-0.342191	-72.721900	0.394194	-119.888922	-0.406730
3000.000001	-118.216617	-0.422386	-117.138807	-0.196083	-58.626311	0.270563	-55.518268	-0.225846
3100.000001	-119.066602	-0.204775	-116.268860	0.302871	-82.248522	0.346708	-130.022958	0.260131
3200.000001	-119.487450	-0.280048	-120.266938	0.085980	-80.011577	-0.407438	-122.056371	0.205333
3300.000002	-121.274659	0.066501	-122.898185	0.428884	-75.051199	0.429441	-129.956599	0.213651
3400.000002	-125.379969	0.093943	-120.594166	0.244021	-83.459348	0.286821	-121.070662	0.199319
3500.000002	-123.308052	0.260594	-124.797892	0.192566	-69.625811	-0.361363	-115.690391	-0.215201
3600.000002	-124.563870	0.223377	-126.962323	0.142669	-76.232406	0.434749	-124.753845	-0.442237
3700.000002	-120.676331	0.302327	-130.990572	0.057801	-79.122550	-0.140260	-119.566573	-0.068201
3800.000002	-116.510101	-0.057779	-118.478855	-0.138998	-75.617452	0.041747	-114.695224	-0.171120
3900.000002	-116.506661	0.007620	-116.306669	-0.008322	-77.198201	-0.290046	-118.129177	-0.310173
4000.000002	-124.278243	0.124398	-109.332211	-0.278546	-57.858724	-0.493784	-56.378913	0.021388
4100.000002	-118.746422	0.092459	-131.803282	0.118780	-79.983760	0.456420	-113.938579	0.110948
4200.000002	-119.577724	-0.065547	-125.501369	-0.469419	-80.325873	-0.240437	-139.743316	0.154076
4300.000002	-117.040751	0.197376	-119.411372	-0.308806	-82.392385	-0.153901	-122.150517	-0.138258
4400.000002	-117.867019	0.171041	-115.122561	0.439734	-87.838376	0.209224	-128.040454	-0.460879
4500.000002	-119.563315	0.252088	-115.110609	0.341187	-70.333326	0.376409	-126.861673	0.398414
4600.000002	-117.607680	-0.284533	-122.976347	0.455988	-81.058680	0.484612	-121.802955	0.494638
4700.000002	-121.418526	0.060286	-127.683911	0.428571	-74.057022	-0.046740	-113.918815	0.438703
4800.000002	-117.460868	-0.032226	-119.276804	-0.123957	-76.585725	-0.479074	-121.552700	-0.449942
4900.000002	-121.681271	-0.232538	-123.299047	0.486190	-77.270107	-0.217854	-133.106007	-0.293486
5000.000002	-125.570608	0.244554	-119.524528	0.160835	-58.632636	-0.270480	-57.777025	0.269275
5100.000002	-118.074382	-0.480061	-121.389557	-0.157614	-76.607033	0.466301	-120.399854	-0.142890
5200.000002	-114.831253	-0.185692	-118.136846	-0.016796	-79.209011	0.301895	-121.401436	0.399228
5300.000002	-119.965005	-0.153897	-120.605226	-0.193764	-82.933425	0.365463	-113.926929	-0.241478
5400.000002	-113.806831	-0.195382	-112.380783	-0.201336	-73.439515	-0.248610	-117.542673	-0.366506
5500.000003	-125.290773	0.243140	-122.378123	0.155356	-77.502267	-0.463693	-116.753785	0.468968
5600.000003	-123.525484	0.392890	-116.439175	0.358236	-82.391704	0.368524	-127.914891	0.070727
5700.000003	-116.173526	0.280003	-127.565250	0.488847	-74.411757	0.372844	-121.535459	0.123162
5800.000003	-126.627318	0.299300	-145.841693	-0.158523	-72.028912	0.304432	-122.752293	0.062292
5900.000003	-120.776728	-0.041257	-113.130025	-0.195918	-74.414855	-0.323007	-133.243089	-0.189597
6000.000003	-119.106397	0.322524	-112.477898	0.232340	-59.660653	-0.028827	-58.874944	-0.486356
6100.000003	-123.204903	0.229792	-117.187549	0.133697	-75.662537	0.055867	-117.923717	0.174462
6200.000003	-130.916717	0.390156	-125.822488	0.183388	-75.741697	-0.217377	-116.079647	-0.457309
6300.000003	-122.582944	-0.077944	-125.591316	-0.201193	-81.748324	-0.479552	-127.938805	-0.261761
6400.000003	-127.025079	0.016988	-118.194715	-0.333838	-80.024551	-0.268050	-124.341298	-0.090270
6500.000003	-115.488987	0.082248	-113.344232	0.377752	-74.424742	0.199176	-124.849133	-0.079532
6600.000003	-119.535855	-0.135073	-123.854849	-0.451377	-78.709398	0.011710	-122.640846	0.257411
6700.000003	-113.166519	0.251647	-114.871870	0.482189	-75.333816	0.343009	-115.847327	0.489194
6800.000003	-130.646826	-0.328910	-115.108709	-0.380202	-75.519317	0.094375	-128.639782	0.257995
6900.000003	-120.879371	0.419675	-112.751632	0.115187	-74.590952	0.188024	-117.491601	-0.331658
7000.000003	-123.597447	0.358874	-124.430489	-0.301728	-62.481504	0.225206	-61.286270	-0.236330
7100.000003	-124.813579	0.145250	-142.354881	-0.190460	-85.334605	0.429784	-113.630419	0.050555
7200.000003	-134.786577	-0.138948	-120.435464	-0.454014	-80.442698	-0.391665	-121.845079	0.285284
7300.000003	-120.573729	0.213033	-118.556005	0.142105	-78.614980	-0.078610	-119.374797	-0.223154
7400.000003	-120.914417	-0.418052	-119.685742	-0.185147	-81.195977	-0.409257	-113.935377	-0.323891
7500.000003	-119.982484	0.371011	-123.256660	-0.349620	-73.535650	-0.321988	-120.433817	0.196292
7600.000004	-122.849021	0.030203	-123.669194	-0.210000	-77.306239	-0.239098	-117.048385	-0.303872
