% f3235.txt
% Date Thu, Jun 24, 2021 7:48 PM
% Ascending Sine seq
% Response spectrum
% Stim level (V pk) 0.500, 0 dB filter gain, 120.0 dB attenuation
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
100.000000	-121.243004	0.421561	-12.968608	0.452422	-98.206596	-0.148348	-23.778629	-0.268883
200.000000	-118.320346	0.397596	-19.309823	0.297139	-109.089150	-0.326829	-26.206768	-0.254874
300.000000	-106.801476	0.139744	-20.125909	0.278327	-94.480848	-0.339783	-26.125340	-0.245602
400.000000	-121.655607	-0.380244	-20.957328	0.259536	-114.203200	0.480028	-26.470873	-0.239072
500.000000	-119.586547	-0.477483	-21.305050	0.249637	-119.995073	0.201544	-26.339042	-0.234386
600.000000	-123.606521	-0.242475	-21.055628	0.252452	-109.801258	0.041537	-26.194706	-0.231002
700.000000	-116.655134	-0.110081	-20.320168	0.241515	-115.148049	-0.136087	-26.009190	-0.228135
800.000000	-117.290422	0.231360	-20.249882	0.223432	-117.122379	-0.176056	-25.395008	-0.225649
900.000000	-114.116183	0.484641	-20.454693	0.217097	-108.243433	0.308535	-25.337558	-0.223442
1000.000000	-119.575874	0.251368	-20.765846	0.211570	-138.720297	-0.318055	-25.209984	-0.221593
1100.000001	-122.711379	0.167420	-20.678031	0.207630	-122.963119	0.100101	-25.083989	-0.220020
1200.000001	-135.053502	0.064629	-20.636869	0.202861	-129.189186	0.241604	-24.962722	-0.218658
1300.000001	-117.412068	0.464208	-20.445016	0.196176	-108.773513	0.225928	-24.845765	-0.217497
1400.000001	-122.951392	0.090014	-20.312575	0.183871	-123.236244	-0.073620	-24.731126	-0.216496
1500.000001	-141.774242	-0.447263	-21.456624	0.179707	-115.536280	-0.003775	-24.622935	-0.215687
1600.000001	-120.899442	-0.023567	-21.264066	0.186238	-115.192143	0.163147	-24.519331	-0.214920
