% f149.txt
% Date Thu, Jun 24, 2021 5:18 PM
% Ascending Sine seq
% Response spectrum
% Stim level (V pk) 0.500, 0 dB filter gain, 120.0 dB attenuation
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
100.000000	9.468831	0.164627	-112.775238	-0.279600	-28.338255	-0.386438	-23.018745	-0.268316
200.000000	-1.711987	0.009079	-114.471042	-0.475607	-21.935419	-0.476076	-25.225305	-0.254870
300.000000	-6.203231	-0.014024	-101.060541	-0.416869	-18.480411	0.465006	-25.226389	-0.245867
400.000000	-9.221240	-0.033616	-114.986186	0.371846	-17.331973	0.423523	-25.144221	-0.239398
500.000000	-11.809372	-0.044384	-117.100085	0.350258	-16.051091	0.405416	-25.026404	-0.234818
600.000000	-13.138740	-0.041371	-117.758373	-0.169232	-15.368506	0.385875	-24.891943	-0.231529
700.000000	-14.120195	-0.061185	-116.578380	-0.480515	-14.875468	0.371360	-24.778149	-0.228714
800.000000	-15.733929	-0.080172	-115.366327	0.434909	-14.577433	0.360825	-24.655575	-0.226060
900.000000	-17.090745	-0.090670	-117.902443	0.249701	-14.282828	0.352495	-24.527953	-0.223936
1000.000000	-17.974751	-0.099452	-121.180752	-0.107594	-14.010806	0.345082	-24.403554	-0.222127
1100.000001	-19.060377	-0.109129	-126.527928	0.311455	-13.830982	0.339035	-24.283621	-0.220585
1200.000001	-19.984228	-0.118389	-121.735805	-0.089927	-13.637013	0.333836	-24.166974	-0.219265
1300.000001	-20.883771	-0.127061	-127.883745	-0.135284	-13.459337	0.328974	-24.052904	-0.218126
1400.000001	-21.752713	-0.131948	-123.891708	0.121333	-13.300978	0.325428	-23.941617	-0.217157
1500.000001	-22.160383	-0.137108	-111.003965	0.081083	-13.154951	0.321689	-23.836265	-0.216367
1600.000001	-22.723051	-0.151003	-129.104937	0.079386	-13.014902	0.317854	-23.735434	-0.215632
1700.000001	-23.336593	-0.157149	-120.248342	0.198540	-12.900793	0.315105	-23.636653	-0.215027
1800.000001	-23.881241	-0.168928	-136.993592	-0.477601	-12.753169	0.311818	-23.543007	-0.214499
1900.000001	-24.532257	-0.177890	-115.374764	0.393436	-12.667327	0.309110	-23.452111	-0.214058
2000.000001	-25.129125	-0.185695	-117.390176	-0.154448	-12.550453	0.306160	-23.363219	-0.213689
2100.000001	-25.702467	-0.192566	-120.423096	-0.202095	-12.431442	0.303851	-23.277241	-0.213396
2200.000001	-26.153245	-0.197568	-118.017790	-0.000501	-12.344896	0.301215	-23.194617	-0.213169
2300.000001	-26.517066	-0.205498	-125.888516	-0.090462	-12.247477	0.298956	-23.115911	-0.212978
2400.000001	-26.789967	-0.213205	-118.596406	-0.442049	-12.158921	0.296701	-23.039228	-0.212830
2500.000001	-27.245517	-0.223479	-118.141025	-0.280711	-12.071673	0.294288	-22.965579	-0.212715
2600.000001	-27.709719	-0.231354	-119.392693	-0.143280	-11.995079	0.292183	-22.895340	-0.212643
2700.000001	-28.127450	-0.238566	-117.921900	-0.097548	-11.906295	0.290009	-22.827463	-0.212604
2800.000001	-28.452968	-0.244814	-123.636779	0.159148	-11.832816	0.287729	-22.760991	-0.212590
2900.000001	-28.506207	-0.258950	-118.956086	-0.011343	-11.771120	0.285572	-22.697236	-0.212611
3000.000001	-29.791763	-0.260127	-127.153601	-0.085617	-11.693761	0.283900	-22.635483	-0.212648
