% f151.txt
% Date Thu, Jun 24, 2021 5:27 PM
% Sine
% Response spectrum
% Stim level (V pk) 0.500, 0 dB filter gain, 120.0 dB attenuation
% Stim RMS (V) 0.000
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
100.000000	-63.024061	0.491274	-110.269793	-0.026047	-71.052178	-0.156012	-112.356685	-0.348459
200.000000	-61.276659	0.091324	-112.440383	0.273161	-63.375865	-0.114283	-112.723994	0.217018
300.000000	-69.973976	-0.225787	-102.764413	-0.045965	-51.187209	-0.334021	-105.936450	0.290858
400.000000	-57.440720	0.247607	-112.229111	-0.398040	-69.384166	-0.466423	-125.189943	0.022442
500.000000	-68.979689	-0.469265	-115.748692	0.476057	-74.885495	0.039450	-123.737035	0.158994
600.000000	-63.493565	0.358975	-121.897834	-0.409041	-70.637603	-0.245470	-132.479248	-0.181605
700.000000	-63.707726	-0.274208	-114.885416	0.193317	-69.367816	0.091539	-122.045833	0.088618
800.000000	-60.939181	-0.017550	-117.137110	-0.173496	-80.138528	0.113683	-130.896688	0.270040
900.000000	-65.438882	-0.099259	-113.131571	-0.135148	-65.577303	0.283839	-115.528695	0.127454
1000.000000	-18.533917	-0.097951	-121.073943	-0.369529	-22.001261	0.347900	-24.914391	-0.221797
1100.000001	-62.651142	-0.122130	-119.157111	0.049441	-64.310951	0.166098	-110.940251	0.378357
1200.000001	-59.720041	-0.372970	-125.669591	0.465628	-65.896063	0.049058	-117.334199	0.117714
1300.000001	-61.183205	0.353776	-116.314968	-0.261402	-68.822602	-0.350786	-129.028482	0.041408
1400.000001	-57.129802	0.283995	-123.243880	0.283588	-87.859659	-0.055355	-124.521222	0.476513
1500.000001	-64.287830	-0.081817	-113.861400	-0.263618	-73.056458	0.018032	-121.047513	0.006174
1600.000001	-60.264227	-0.341530	-121.819321	0.320482	-69.210832	-0.370772	-121.394734	0.285751
1700.000001	-57.807982	-0.321455	-121.596387	0.129932	-72.761940	-0.140612	-118.374661	-0.230904
1800.000001	-62.563128	-0.483328	-120.442356	-0.358486	-75.195952	-0.485175	-122.140395	-0.379199
1900.000001	-69.788372	0.147629	-132.630266	-0.134092	-85.046319	-0.308234	-123.800299	0.086367
2000.000001	-72.818518	0.422921	-120.147646	0.452285	-80.843301	-0.276046	-85.265989	-0.441020
2100.000001	-65.835926	0.168162	-138.426725	0.390655	-72.024031	-0.087727	-116.014308	0.035806
2200.000001	-60.776945	-0.200405	-126.566120	-0.472053	-77.744278	0.280132	-117.049737	0.013564
2300.000001	-60.973255	0.214920	-129.940464	-0.218175	-80.152224	-0.339007	-119.455248	0.378961
2400.000001	-61.630495	-0.173237	-118.242969	-0.063858	-70.455169	0.329235	-114.077218	0.487789
2500.000001	-60.197602	-0.252827	-123.635856	0.403024	-73.920910	-0.286003	-132.783999	0.183527
2600.000001	-56.200121	-0.214922	-118.682762	-0.213712	-72.604285	-0.215138	-117.804819	-0.171699
2700.000001	-58.902039	-0.032760	-116.462534	-0.325454	-81.635085	-0.202745	-120.741324	0.459126
2800.000001	-62.070456	-0.247414	-124.897093	0.105704	-80.107332	-0.193890	-115.198799	0.313166
2900.000001	-62.437651	0.020095	-118.975441	-0.307861	-78.174294	0.198042	-129.459486	0.375749
3000.000001	-56.522090	-0.388678	-118.092545	-0.378675	-84.395179	0.321230	-86.919044	-0.261472
3100.000001	-61.241095	-0.020798	-123.105152	0.357283	-80.459411	-0.401955	-131.506722	0.489221
3200.000001	-56.081341	0.462571	-123.898082	0.312844	-72.468995	-0.135792	-112.787258	0.065791
3300.000002	-67.819357	-0.022328	-113.082913	-0.105326	-74.434603	0.009032	-119.058065	0.018309
3400.000002	-64.286345	0.030315	-124.220828	0.188262	-80.187202	-0.034116	-119.807182	-0.020202
3500.000002	-57.648177	-0.071892	-118.036095	-0.342227	-76.758811	0.426083	-120.651215	-0.375240
3600.000002	-60.548070	-0.072035	-121.701013	-0.312180	-81.099899	-0.124136	-131.288598	-0.200451
3700.000002	-73.451818	0.198090	-123.112186	0.056406	-84.007776	-0.080793	-130.725805	0.388578
3800.000002	-59.659789	0.368540	-120.389862	-0.069178	-76.586148	0.406074	-114.651611	-0.369377
3900.000002	-68.349326	0.120782	-115.378463	0.175626	-83.509761	0.260656	-118.409875	-0.106501
4000.000002	-58.013211	0.433493	-114.101399	0.479571	-76.970990	0.029185	-102.145669	0.132191
4100.000002	-61.451126	0.136825	-113.924583	0.018230	-75.075419	-0.139491	-115.685799	0.079522
4200.000002	-67.434185	-0.376516	-114.163176	-0.314747	-78.506440	-0.106536	-124.432751	-0.063117
4300.000002	-64.590730	0.452869	-126.801429	0.038171	-78.483771	-0.492105	-117.703189	0.267618
4400.000002	-62.946051	0.096787	-122.845678	0.294412	-79.952623	0.248361	-119.627205	-0.413050
4500.000002	-65.749039	-0.019546	-118.931837	0.296113	-75.491958	-0.310327	-125.112661	0.045846
4600.000002	-59.146344	0.130112	-122.012225	-0.425077	-75.680197	-0.120059	-122.696069	0.225415
4700.000002	-63.669305	-0.182077	-116.618733	-0.162020	-80.409402	-0.468778	-119.368261	-0.227737
4800.000002	-65.063677	-0.213432	-121.583866	0.158232	-71.882384	-0.314536	-136.798065	0.203836
4900.000002	-60.021649	-0.131787	-124.886555	0.437197	-70.381295	-0.008319	-121.093246	0.215100
5000.000002	-61.016344	-0.497678	-129.277166	0.212379	-79.116863	-0.259242	-96.149217	-0.066994
5100.000002	-64.980961	-0.146042	-125.017788	0.035620	-75.483535	-0.279144	-120.578290	0.043372
5200.000002	-69.160548	-0.078330	-115.041769	0.075953	-81.189064	-0.036138	-125.183487	0.235219
5300.000002	-72.641346	0.338635	-120.429812	-0.343548	-76.673426	-0.062429	-114.044545	-0.267693
5400.000002	-60.571144	0.081532	-116.013487	0.153368	-83.182767	0.130338	-118.613540	0.032506
5500.000003	-62.322762	-0.090816	-122.405540	0.227671	-104.770273	0.408585	-122.144137	-0.202399
5600.000003	-58.457545	-0.379134	-129.301822	0.190537	-85.741631	-0.382959	-115.429810	-0.317641
5700.000003	-62.939046	0.410473	-117.816523	-0.119501	-81.837738	0.274690	-121.791572	-0.391385
5800.000003	-60.364036	0.341151	-117.142445	0.275488	-80.511683	-0.085786	-128.089507	0.496300
5900.000003	-63.095136	0.497882	-120.448130	-0.192878	-83.677321	0.425898	-127.246817	0.245872
6000.000003	-59.817905	0.499317	-121.788807	-0.449322	-85.474528	-0.235311	-97.471767	0.156819
6100.000003	-66.267749	-0.051839	-117.832767	-0.349577	-77.242423	0.488868	-117.839393	0.498258
6200.000003	-54.588788	-0.434527	-119.577130	-0.456460	-78.670194	-0.448132	-129.601947	-0.173413
6300.000003	-58.791802	0.395331	-127.114885	0.059490	-81.408557	-0.098270	-126.651842	-0.320546
6400.000003	-55.745038	0.243809	-128.418078	-0.361144	-77.452817	0.143215	-118.483476	-0.294552
6500.000003	-62.725220	-0.214899	-121.715884	0.295646	-74.297067	-0.231564	-127.788126	0.247029
6600.000003	-65.009851	0.450358	-122.470614	-0.459332	-79.385818	0.366586	-129.847559	-0.243298
6700.000003	-67.353422	-0.452379	-119.767838	0.346772	-69.863173	0.165205	-117.564958	0.289474
6800.000003	-53.473818	-0.457372	-119.436790	-0.423606	-71.336412	0.348395	-127.103476	-0.462934
6900.000003	-56.093608	0.188023	-116.440457	0.491147	-79.640357	-0.212352	-126.530763	0.264829
7000.000003	-55.152457	-0.126456	-129.336233	0.144943	-76.705621	0.270891	-97.058418	-0.066586
7100.000003	-57.923391	0.465251	-117.059957	-0.306649	-85.295012	0.210457	-119.419585	0.279210
7200.000003	-57.781282	-0.390169	-118.032948	-0.047737	-81.943396	-0.128387	-121.418291	0.006045
7300.000003	-55.126060	0.171349	-126.406592	0.152297	-85.846186	0.478607	-116.391933	-0.310906
7400.000003	-62.652864	-0.108700	-118.231671	-0.197457	-83.500382	-0.029845	-126.385609	-0.475232
7500.000003	-68.203294	-0.220379	-116.220747	-0.041606	-85.729419	0.433442	-120.853471	0.032071
7600.000004	-67.569358	0.149002	-114.749879	0.127821	-73.817863	-0.054818	-114.091479	-0.008569
7700.000004	-63.034651	0.217776	-129.723306	-0.004051	-76.228869	0.469872	-113.900386	0.097026
7800.000004	-81.052531	-0.473194	-118.521796	0.293313	-81.309421	-0.115566	-122.505923	0.375349
7900.000004	-73.954080	-0.431258	-122.041801	0.054141	-79.903502	-0.050454	-117.896615	0.498100
8000.000004	-60.589581	0.441637	-124.254200	-0.334370	-77.639199	-0.059571	-107.742499	0.182226
8100.000004	-54.488892	-0.393721	-120.664513	0.430131	-77.855213	0.254645	-120.600106	-0.296212
8200.000004	-68.398070	-0.262708	-124.064483	-0.382570	-83.728508	-0.005145	-124.779980	0.096140
8300.000004	-59.984154	-0.108206	-123.103488	-0.421360	-80.495029	0.495793	-119.395092	-0.370998
8400.000004	-60.123172	-0.280785	-119.809250	0.155630	-88.527264	-0.140709	-134.037878	-0.416841
8500.000004	-58.159455	-0.366926	-125.056326	0.424816	-85.145820	-0.065568	-123.654618	-0.169489
8600.000004	-51.859591	0.333352	-120.707987	-0.008849	-83.974381	0.245249	-135.167769	0.026640
8700.000004	-57.468150	0.126722	-119.466575	0.364789	-71.991174	-0.475523	-119.081597	0.399016
8800.000004	-59.045880	0.461537	-128.909200	-0.107844	-88.389980	0.272275	-118.329621	0.308867
8900.000004	-66.049360	0.234147	-118.557084	0.405430	-83.852028	-0.388041	-120.053068	0.367201
9000.000004	-67.455334	-0.488670	-126.833371	-0.099978	-81.657877	-0.366140	-108.196421	0.485359
9100.000004	-60.756779	-0.464614	-123.894872	-0.310693	-82.290050	0.238837	-118.396754	-0.236801
9200.000004	-54.859152	-0.383685	-124.562166	0.456454	-86.632093	0.077088	-120.991699	-0.209414
9300.000004	-70.934632	0.338223	-115.264144	-0.409287	-82.871807	-0.099217	-131.418387	-0.012806
9400.000004	-55.266643	-0.141909	-123.595783	-0.086368	-82.179301	0.217347	-128.064605	-0.189163
9500.000004	-58.283007	0.110978	-116.552469	-0.075650	-82.023455	-0.342183	-122.046902	0.212070
9600.000004	-56.984004	-0.294553	-117.812559	-0.401214	-74.436298	-0.099045	-114.652959	-0.433291
9700.000004	-58.059303	0.222845	-124.419437	0.195149	-84.036648	0.336142	-121.257232	0.336089
9800.000005	-60.499557	-0.325698	-120.512595	-0.463606	-87.487759	0.014472	-116.339141	0.471040
9900.000005	-55.567625	0.168887	-116.896916	-0.396741	-75.970671	-0.023153	-120.319480	0.158090
10000.000005	-59.503651	-0.082122	-116.721830	0.418190	-82.652376	-0.343948	-110.822929	0.355516
10100.000005	-55.158994	0.140994	-122.297225	0.216402	-87.958511	0.443932	-125.856943	0.010309
10200.000005	-54.325451	0.024076	-127.749223	0.026258	-75.503887	-0.277784	-134.334165	-0.396509
10300.000005	-51.605073	0.233860	-136.761347	0.474682	-78.936971	-0.374230	-114.780764	-0.333670
10400.000005	-55.412530	0.001205	-127.279488	0.348516	-73.648459	-0.311506	-114.078007	0.497493
10500.000005	-63.324415	0.156607	-122.093580	0.123773	-103.807409	-0.176900	-137.185501	-0.417941
10600.000005	-56.770197	-0.086192	-116.587892	0.262181	-78.612891	-0.350296	-116.671149	-0.030402
10700.000005	-63.019902	0.381145	-129.268246	-0.457350	-81.432006	0.208900	-118.236339	0.148820
10800.000005	-57.853499	-0.294663	-125.403732	-0.354867	-76.611284	0.218382	-114.686282	0.068359
10900.000005	-69.038599	0.289511	-112.647070	-0.300211	-82.462650	0.074898	-122.720935	-0.193550
11000.000005	-68.370448	-0.423539	-115.593610	0.241142	-75.930348	-0.197824	-104.649992	-0.458507
11100.000005	-58.374218	0.324696	-127.877993	0.081794	-84.870452	0.498329	-115.080532	-0.098093
11200.000005	-61.194195	0.237361	-120.230459	0.179438	-82.728978	0.123691	-116.513851	0.148912
11300.000005	-66.283963	0.208716	-131.443748	-0.187450	-84.170484	-0.275277	-114.329951	-0.150921
11400.000005	-57.443544	0.140201	-117.175295	0.095767	-82.154547	-0.348825	-115.161883	0.115277
11500.000005	-62.040321	0.395248	-117.180400	-0.137307	-74.988792	-0.095955	-124.827323	0.338228
11600.000005	-55.249431	0.040431	-126.935251	-0.434310	-78.618179	0.426088	-118.306406	0.090043
11700.000005	-62.281484	0.471859	-115.559286	-0.005067	-80.626325	-0.199808	-118.588964	0.487388
11800.000005	-58.620495	-0.292650	-126.367707	0.340040	-80.133364	-0.108224	-129.663821	-0.058622
11900.000005	-64.134324	-0.305162	-116.195884	0.390180	-85.385665	-0.429620	-116.545642	0.240153
12000.000006	-61.115846	-0.249871	-116.963558	0.065380	-84.680300	0.380750	-104.247275	-0.159282
12100.000006	-72.760402	0.340356	-120.854819	-0.153835	-79.347543	8.552709E-5	-119.523057	0.414263
12200.000006	-57.701371	-0.359806	-116.761420	0.061523	-91.117242	0.335210	-118.104787	-0.222117
12300.000006	-54.450984	-0.024623	-120.560976	0.207361	-81.960691	-0.329490	-117.892766	-0.052565
12400.000006	-69.491069	-0.268005	-122.775697	-0.475049	-86.015645	-0.040815	-118.549993	0.267742
12500.000006	-53.479815	0.117053	-120.117170	-0.057690	-77.596850	-0.281794	-132.870835	0.497742
12600.000006	-53.308405	0.007612	-124.929431	-0.208553	-87.605750	0.361335	-116.943989	-0.075589
12700.000006	-64.246586	-0.157210	-118.771690	0.456442	-82.957724	0.047150	-113.763505	0.355904
12800.000006	-58.893528	0.165338	-118.155178	0.079716	-82.163823	-0.050395	-123.298855	-0.463671
12900.000006	-62.702049	-0.178456	-123.231099	-0.228578	-81.344628	0.303543	-125.345920	0.041199
13000.000006	-56.773971	-0.268371	-122.809240	-0.078670	-78.952574	0.296569	-103.574129	0.083565
13100.000006	-64.545195	-0.140839	-116.347440	-0.489059	-82.399622	-0.325317	-119.729470	-0.467214
13200.000006	-56.385361	0.142854	-121.982979	0.171610	-75.695404	0.300141	-116.668283	-0.365106
13300.000006	-54.767001	0.403667	-126.614021	-0.314438	-78.744123	0.210803	-117.153097	-0.183602
13400.000006	-56.566078	0.411162	-124.785307	0.225760	-90.414758	0.369873	-117.630629	0.074577
13500.000006	-53.446632	0.282242	-119.344827	0.189846	-80.735584	-0.317310	-120.381727	0.382939
13600.000006	-51.784066	-0.433822	-122.968610	-0.414513	-78.210901	0.289715	-123.578211	0.399546
13700.000006	-53.529880	0.104240	-120.771357	-0.239850	-78.425293	-0.159354	-116.120260	-0.081170
13800.000006	-66.560860	0.385444	-123.348723	0.068281	-80.605090	-0.340222	-124.051330	0.467615
13900.000006	-62.899616	0.025441	-111.985104	0.105626	-85.539242	-0.226491	-114.718325	0.018777
14000.000006	-52.283427	-0.348984	-121.150148	-0.456668	-88.032912	0.042545	-116.120665	0.450101
