% f6066.txt
% Date Thu, Jun 24, 2021 9:59 PM
% Ascending Sine seq
% Response spectrum
% Stim level (V pk) 0.005, 0 dB filter gain, 120.0 dB attenuation
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
100.000000	-115.716763	-0.303522	-117.026529	0.242920	14.637139	0.371744	-49.003340	-0.250191
200.000000	-114.867564	-0.103710	-119.669908	-0.379984	14.949825	0.311779	-49.002256	-0.250388
300.000000	-106.896620	-0.247316	-100.462186	0.413972	15.555362	0.275756	-49.002326	-0.250839
400.000000	-108.616445	-0.418387	-102.669658	0.490123	15.869231	0.236035	-49.005438	-0.250950
500.000000	-109.716196	-0.339465	-100.692572	0.430250	15.978462	0.194383	-49.012468	-0.251134
600.000000	-108.772458	0.492971	-99.468950	0.387884	16.049725	0.152031	-49.017535	-0.251464
700.000000	-110.735525	0.434065	-100.678371	0.321040	15.176882	0.108377	-49.016056	-0.251675
800.000000	-110.456127	0.439467	-100.143988	0.307441	14.562587	0.095475	-49.028825	-0.251837
900.000000	-108.638005	0.456959	-100.000698	0.292548	13.598410	0.083088	-49.023334	-0.252049
1000.000000	-109.778682	0.348179	-101.825765	0.237836	12.827401	0.074967	-49.015840	-0.252204
1100.000001	-111.893279	0.363186	-100.655220	0.218071	12.106759	0.068156	-49.015158	-0.252395
1200.000001	-111.396682	0.323182	-100.241337	0.245875	11.436330	0.062405	-49.017817	-0.252570
1300.000001	-111.527251	0.285897	-101.819841	0.203689	10.812707	0.057427	-49.018578	-0.252713
1400.000001	-107.327201	0.254501	-100.995571	0.192202	10.231041	0.053072	-49.015796	-0.252983
1500.000001	-120.077928	0.242212	-102.915459	0.171083	9.687779	0.049229	-49.016726	-0.253200
1600.000001	-112.606232	0.212292	-102.892056	0.199689	9.178467	0.045777	-49.014527	-0.253408
1700.000001	-114.153415	0.347308	-103.033941	0.169280	8.686709	0.042707	-49.021674	-0.253561
1800.000001	-118.248690	0.286577	-102.683658	0.155401	8.232783	0.039829	-49.021371	-0.253748
1900.000001	-113.640238	0.116915	-102.599243	0.153161	7.801001	0.037255	-49.023199	-0.253974
2000.000001	-113.101966	0.232961	-103.193173	0.113704	7.389930	0.034861	-49.022974	-0.254180
2100.000001	-112.419898	0.239483	-103.830414	0.142379	6.999540	0.032616	-49.024153	-0.254357
2200.000001	-108.523968	0.214926	-103.229261	0.161400	6.625151	0.030540	-49.025600	-0.254608
2300.000001	-115.809074	0.170025	-105.728729	0.118735	6.268559	0.028570	-49.022331	-0.254768
2400.000001	-114.150665	0.187001	-105.332406	0.142765	5.928971	0.026787	-49.021480	-0.255045
2500.000001	-119.522943	0.091683	-107.173310	0.128710	5.604863	0.025039	-49.018247	-0.255212
2600.000001	-116.288834	0.140092	-105.944307	0.123584	5.290806	0.023362	-49.020514	-0.255420
2700.000001	-118.437500	0.156897	-104.060142	0.134106	4.988924	0.021743	-49.022245	-0.255605
2800.000001	-110.173899	0.109981	-105.983265	0.105668	4.699171	0.020215	-49.015193	-0.255778
2900.000001	-112.970878	0.216478	-108.611708	0.126506	4.419267	0.018763	-49.018145	-0.256066
3000.000001	-115.594389	0.128115	-110.679337	0.085962	4.148541	0.017323	-49.013791	-0.256250
3100.000001	-120.810288	0.399477	-110.329496	0.102880	3.892250	0.016005	-49.016492	-0.256503
3200.000001	-119.245765	0.199716	-107.502201	0.066963	3.639494	0.014652	-49.009404	-0.256659
3300.000002	-122.139732	0.137470	-111.935500	0.154942	3.393903	0.013352	-49.015065	-0.256879
3400.000002	-110.480355	0.069733	-111.854552	0.072651	3.157340	0.012086	-49.014486	-0.257057
3500.000002	-117.433576	0.149897	-112.420613	0.032689	2.927555	0.010859	-49.013708	-0.257267
3600.000002	-118.170885	0.050226	-110.081727	0.075522	2.704397	0.009631	-49.012746	-0.257468
3700.000002	-114.451657	-0.003719	-112.937492	0.066356	2.484376	0.008471	-49.010647	-0.257682
3800.000002	-117.604840	0.022187	-112.289197	0.005707	2.275107	0.007320	-49.010685	-0.257846
3900.000002	-121.394856	0.014007	-107.234932	0.087954	2.071169	0.006166	-49.011701	-0.258113
