% f5781.txt
% Date Thu, Jun 24, 2021 9:45 PM
% Ascending Sine seq
% Response spectrum
% Stim level (V pk) 0.500, 0 dB filter gain, 120.0 dB attenuation
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
100.000000	-114.958638	-0.020538	-118.566242	0.382867	-8.464007	-0.401672	-22.608249	-0.229906
200.000000	-121.432306	0.251850	-120.565750	-0.143105	-2.989280	0.447587	-24.429619	-0.268515
300.000000	-107.312226	0.153545	-105.440538	-0.354951	-0.928251	0.389566	-24.842561	-0.253854
400.000000	-115.644266	-0.051036	-117.740474	0.494261	-0.234077	0.362147	-24.858919	-0.244640
500.000000	-118.989614	-0.136138	-125.787371	-0.135837	0.245064	0.339254	-24.756287	-0.238431
600.000000	-130.437268	0.054762	-125.605379	0.414518	0.512362	0.322982	-24.611348	-0.234919
700.000000	-123.591692	0.076918	-116.493740	-0.466800	0.615723	0.311359	-24.529595	-0.231689
800.000000	-106.829245	-0.348291	-116.878025	-0.252732	0.721145	0.303718	-24.413479	-0.228212
900.000000	-133.193960	0.340486	-120.571315	0.307991	0.828486	0.297541	-24.282354	-0.225665
1000.000000	-124.517835	-0.022344	-111.322905	-0.454935	0.913389	0.292513	-24.152861	-0.223574
1100.000001	-115.020680	0.347379	-109.981200	0.488525	0.989358	0.288215	-24.027046	-0.221834
1200.000001	-117.472421	0.459647	-109.647953	0.482006	1.082179	0.284664	-23.905271	-0.220359
1300.000001	-116.967249	-0.445060	-111.278478	0.469649	1.168335	0.281631	-23.785885	-0.219087
1400.000001	-126.444380	0.405835	-110.874972	0.447617	1.257538	0.278816	-23.666263	-0.218055
1500.000001	-112.902132	0.465787	-106.788105	0.443618	1.330158	0.275864	-23.561658	-0.217314
1600.000001	-114.210740	0.489990	-113.161895	0.461919	1.403744	0.273819	-23.462296	-0.216440
1700.000001	-121.658822	0.369216	-111.119400	0.355427	1.484927	0.271700	-23.360288	-0.215817
1800.000001	-120.547603	-0.484052	-105.233936	0.406010	1.558477	0.269660	-23.265108	-0.215197
1900.000001	-114.321550	-0.414594	-108.290606	0.341270	1.640736	0.267562	-23.170370	-0.214702
2000.000001	-119.710252	0.321023	-108.529237	0.357175	1.712400	0.265718	-23.079035	-0.214298
2100.000001	-121.137209	0.419487	-108.971609	0.369106	1.797491	0.263713	-22.991218	-0.213986
2200.000001	-119.979355	0.339813	-109.638262	0.375243	1.871752	0.261740	-22.907679	-0.213757
2300.000001	-120.353889	0.128646	-107.976829	0.268880	1.941777	0.259919	-22.829451	-0.213568
2400.000001	-114.429461	0.413288	-113.024649	0.333411	2.009263	0.258083	-22.752488	-0.213376
2500.000001	-118.351988	0.364200	-107.194706	0.401650	2.073932	0.256303	-22.678048	-0.213263
2600.000001	-121.435878	0.165289	-112.038250	0.348124	2.146131	0.254587	-22.606110	-0.213158
2700.000001	-116.260109	0.305514	-109.262309	0.285736	2.211941	0.252798	-22.536547	-0.213116
2800.000001	-116.092710	0.412257	-114.307007	0.342128	2.279629	0.250896	-22.469872	-0.213107
2900.000001	-113.782517	0.400927	-108.045302	0.295605	2.336853	0.249170	-22.406507	-0.213128
3000.000001	-116.585823	0.355802	-111.313653	0.318141	2.400591	0.247372	-22.345564	-0.213161
3100.000001	-113.522029	0.313474	-109.355067	0.326792	2.457924	0.245660	-22.286158	-0.213198
3200.000001	-121.048887	-0.010373	-109.568023	0.264125	2.515744	0.243872	-22.228098	-0.213260
3300.000002	-112.219792	0.270877	-112.361141	0.206351	2.578343	0.242165	-22.172064	-0.213327
3400.000002	-116.427734	0.393046	-113.987378	0.226139	2.635484	0.240388	-22.117803	-0.213441
3500.000002	-110.563175	0.379988	-112.572118	0.260548	2.685197	0.238669	-22.065382	-0.213556
3600.000002	-125.884796	-0.396980	-111.664749	0.240777	2.740552	0.236859	-22.014403	-0.213691
3700.000002	-119.829481	0.012171	-116.903414	0.261110	2.796477	0.235086	-21.964825	-0.213826
3800.000002	-113.259856	0.228187	-115.052412	0.190708	2.846267	0.233298	-21.916983	-0.213972
3900.000002	-110.643477	0.311979	-110.339055	0.335394	2.898767	0.231555	-21.870353	-0.214136
4000.000002	-109.457159	0.323520	-118.500373	0.337776	2.951979	0.229767	-21.824906	-0.214301
4100.000002	-113.463345	0.174420	-116.810956	0.340980	2.999259	0.227981	-21.780705	-0.214473
4200.000002	-114.336202	0.233321	-119.710910	0.290876	3.044108	0.226248	-21.737834	-0.214661
4300.000002	-116.703372	0.252656	-119.205188	0.383630	3.096039	0.224464	-21.696231	-0.214851
4400.000002	-115.081901	0.346153	-113.372579	0.293417	3.138172	0.222654	-21.656134	-0.215044
4500.000002	-113.260013	0.099473	-119.202615	0.317647	3.185084	0.220973	-21.616482	-0.215248
4600.000002	-118.900652	0.164252	-119.017778	0.439238	3.228445	0.219184	-21.578229	-0.215448
4700.000002	-114.830858	0.047156	-119.165772	0.119768	3.269305	0.217450	-21.540580	-0.215659
4800.000002	-118.601082	0.179978	-124.224635	0.297499	3.316346	0.215697	-21.504496	-0.215866
4900.000002	-123.226894	0.373868	-114.544994	0.415027	3.356391	0.213935	-21.468823	-0.216078
5000.000002	-117.718637	0.261298	-116.399687	0.382676	3.395594	0.212186	-21.433915	-0.216293
5100.000002	-116.362844	0.137699	-117.000575	-0.413746	3.434039	0.210502	-21.399931	-0.216509
5200.000002	-115.014597	0.182317	-116.040081	0.407119	3.473556	0.208706	-21.366783	-0.216729
5300.000002	-115.623232	0.202398	-115.433519	-0.424167	3.512448	0.207000	-21.334049	-0.216955
5400.000002	-118.983839	0.171833	-111.679186	-0.495750	3.548488	0.205269	-21.302134	-0.217184
5500.000003	-121.456384	0.273112	-111.900974	0.434824	3.584695	0.203538	-21.270596	-0.217401
5600.000003	-116.488675	0.391711	-113.179963	0.430532	3.619914	0.201879	-21.239581	-0.217644
5700.000003	-124.776342	0.308445	-123.056276	-0.368589	3.656666	0.200136	-21.206437	-0.217922
5800.000003	-114.695533	0.215951	-108.353229	0.498076	3.685900	0.198436	-21.188353	-0.218151
5900.000003	-126.119295	0.339083	-117.872629	-0.400927	3.719648	0.196753	-21.156911	-0.218345
6000.000003	-138.871570	0.096702	-110.444310	-0.432664	3.753203	0.195109	-21.128186	-0.218583
6100.000003	-114.499198	0.031494	-114.366586	-0.465263	3.783502	0.193361	-21.100636	-0.218812
6200.000003	-120.144199	0.168861	-108.922039	-0.390819	3.815686	0.191676	-21.073804	-0.219049
6300.000003	-121.246396	0.155703	-106.818622	-0.440862	3.846112	0.189989	-21.047267	-0.219285
6400.000003	-124.069731	0.015404	-110.088890	-0.453741	3.875447	0.188316	-21.021659	-0.219524
6500.000003	-116.668959	0.188714	-105.592837	-0.425519	3.903529	0.186630	-20.996353	-0.219762
6600.000003	-122.840220	-0.093083	-107.553474	-0.417766	3.930947	0.184967	-20.971694	-0.219990
6700.000003	-116.047412	-0.047139	-107.083930	-0.369320	3.959114	0.183298	-20.946803	-0.220246
6800.000003	-132.508248	0.389737	-104.865014	-0.429161	3.990890	0.181632	-20.922430	-0.220493
7000.000003	-113.333995	0.181385	-107.274308	-0.486342	3.998766	0.178117	-20.879449	-0.220992
7100.000003	-119.392567	0.101830	-110.964995	-0.470771	4.025706	0.176706	-20.856114	-0.221218
7200.000003	-120.532307	0.468045	-105.375541	-0.490411	4.051266	0.175084	-20.833741	-0.221454
7300.000003	-116.475210	0.079494	-104.709150	-0.440318	4.076786	0.173357	-20.811433	-0.221701
7400.000003	-120.848373	0.110216	-104.847858	-0.474355	4.088745	0.171786	-20.790613	-0.221945
7500.000003	-116.198668	0.248881	-104.816573	-0.471899	4.115654	0.170204	-20.769326	-0.222184
7700.000004	-129.432940	0.263042	-104.828949	-0.452201	4.137184	0.166769	-20.727645	-0.222674
7800.000004	-112.580064	0.205691	-103.717871	-0.456682	4.144018	0.165536	-20.708566	-0.222917
7900.000004	-115.847855	0.103345	-101.357369	-0.434783	4.172156	0.163884	-20.688769	-0.223152
8100.000004	-120.992198	0.076066	-101.975005	-0.455359	4.193378	0.160662	-20.650160	-0.223633
8200.000004	-116.409343	0.100577	-101.734396	-0.445036	4.213234	0.159054	-20.631312	-0.223876
8300.000004	-118.657391	0.144615	-102.701422	-0.453113	4.232287	0.157327	-20.612572	-0.224115
8500.000004	-114.696228	0.215049	-101.864475	-0.479481	4.246889	0.154080	-20.576354	-0.224601
8600.000004	-121.355744	0.303982	-101.227600	-0.467341	4.259165	0.152401	-20.558809	-0.224842
8800.000004	-121.785821	0.235744	-100.709328	-0.472888	4.267060	0.149163	-20.524006	-0.225320
8900.000004	-113.678865	0.303148	-101.605706	-0.472230	4.278138	0.147456	-20.507685	-0.225566
9100.000004	-120.620418	0.272292	-100.411660	0.497470	4.275943	0.144252	-20.474867	-0.226047
9200.000004	-121.672287	-0.061510	-99.846478	-0.494752	4.285278	0.142670	-20.458384	-0.226292
9400.000004	-125.300924	0.147263	-98.869757	-0.495666	4.283154	0.139495	-20.426283	-0.226766
9500.000004	-122.065575	0.035654	-99.099209	-0.487858	4.295930	0.138052	-20.411084	-0.227011
9700.000004	-114.712099	0.112328	-99.355205	-0.484930	4.294830	0.134784	-20.380643	-0.227487
9800.000005	-120.987697	0.353026	-97.643248	0.497286	4.303303	0.133118	-20.365858	-0.227725
10000.000005	-127.178419	0.322480	-98.243010	-0.493241	4.300535	0.130033	-20.336016	-0.228202
10200.000005	-119.296377	0.344237	-97.621721	-0.490460	4.300587	0.126888	-20.307858	-0.228680
10300.000005	-114.794388	0.299213	-97.158088	0.496976	4.306188	0.125237	-20.293851	-0.228916
10500.000005	-116.544185	0.179113	-97.727163	0.485511	4.298753	0.122088	-20.266032	-0.229392
10700.000005	-120.611981	0.462124	-96.776578	-0.496240	4.292909	0.118925	-20.239186	-0.229859
10900.000005	-111.875723	0.185862	-95.964686	0.496478	4.284530	0.115826	-20.213196	-0.230337
11000.000005	-113.525307	0.368592	-95.209698	0.489500	4.289240	0.114199	-20.200455	-0.230567
11200.000005	-115.720030	-0.328702	-96.356919	0.488976	4.279701	0.111076	-20.174731	-0.231045
11400.000005	-112.557544	0.164899	-95.653347	0.474576	4.268260	0.107885	-20.149987	-0.231513
11600.000005	-115.713916	0.284571	-95.343103	0.469391	4.252235	0.104795	-20.125879	-0.231982
11800.000005	-113.454022	0.245766	-94.991472	0.468215	4.234836	0.101716	-20.101882	-0.232450
12000.000006	-115.133626	0.413419	-94.514683	0.463189	4.215548	0.098595	-20.079673	-0.232923
12200.000006	-133.398914	0.058819	-94.823790	0.454039	4.192665	0.095585	-20.056164	-0.233384
12400.000006	-121.330615	-0.315460	-94.192841	0.462908	4.173344	0.092637	-20.034334	-0.233849
12600.000006	-117.109390	0.191234	-94.228353	0.459215	4.151790	0.089571	-20.012660	-0.234316
12800.000006	-114.123452	0.325856	-94.837337	0.458796	4.128031	0.086616	-19.991456	-0.234772
13000.000006	-110.454660	0.254412	-94.357850	0.451640	4.103702	0.083606	-19.970660	-0.235235
13200.000006	-114.656266	0.269407	-93.421943	0.448546	4.077102	0.080639	-19.948948	-0.235699
13400.000006	-124.651435	0.264214	-93.330414	0.444083	4.047810	0.077671	-19.929989	-0.236162
13700.000006	-113.022747	0.259923	-92.830365	0.424043	3.995859	0.073374	-19.900955	-0.236851
13900.000006	-116.723401	0.310225	-92.980342	0.431654	3.964738	0.070446	-19.881920	-0.237309
14100.000006	-118.271854	0.368979	-92.769166	0.430946	3.931699	0.067564	-19.863201	-0.237766
14400.000007	-114.865376	0.235012	-92.758324	0.421947	3.870731	0.063349	-19.836006	-0.238443
14600.000007	-115.204229	0.241888	-92.495606	0.419733	3.838868	0.060508	-19.818394	-0.238906
14800.000007	-114.335013	0.232715	-92.745739	0.415853	3.803331	0.057678	-19.800858	-0.239361
15100.000007	-114.061970	0.201231	-92.387858	0.412875	3.741136	0.053495	-19.775384	-0.240043
15300.000007	-121.541916	0.289077	-91.944608	0.405151	3.701025	0.050693	-19.758799	-0.240497
15600.000007	-115.959141	0.316100	-92.024393	0.408872	3.635853	0.046584	-19.734491	-0.241176
15900.000007	-112.683228	0.319938	-91.413049	0.398857	3.565971	0.042528	-19.710348	-0.241856
16100.000007	-113.430042	0.188450	-91.415248	0.395045	3.522821	0.039788	-19.694845	-0.242305
16400.000008	-111.223000	0.326536	-90.781603	0.387914	3.450874	0.035764	-19.672032	-0.242980
16700.000008	-115.107217	0.199542	-90.949797	0.385122	3.378458	0.031818	-19.649492	-0.243650
16900.000008	-116.230422	0.193473	-90.929488	0.393173	3.331768	0.029225	-19.634663	-0.244101
17200.000008	-114.313997	0.201389	-90.772387	0.377830	3.256739	0.025321	-19.613168	-0.244772
17500.000008	-112.296456	0.231882	-90.398556	0.373476	3.178724	0.021433	-19.592279	-0.245447
17800.000008	-109.018812	0.246541	-90.285130	0.366208	3.099122	0.017597	-19.571404	-0.246118
18100.000008	-111.278494	0.194597	-90.329015	0.366522	3.018234	0.013794	-19.551481	-0.246789
18400.000008	-115.224801	0.145969	-90.099452	0.359855	2.936032	0.010058	-19.531860	-0.247459
18700.000009	-113.914044	0.238450	-90.022585	0.353717	2.851600	0.006327	-19.512620	-0.248128
19000.000009	-114.089737	0.241996	-90.172683	0.347915	2.768415	0.002651	-19.493474	-0.248797
19300.000009	-111.173186	0.240694	-89.612210	0.352429	2.683418	-0.000979	-19.475396	-0.249461
19700.000009	-110.115994	0.164442	-90.024934	0.339173	2.562042	-0.005784	-19.451399	-0.250352
20000.000009	-109.542282	0.191388	-89.658213	0.335630	2.475169	-0.009341	-19.433747	-0.251012
