% f4441.txt
% Date Thu, Jun 24, 2021 8:46 PM
% Ascending Sine seq
% Response spectrum
% Stim level (V pk) 0.500, 0 dB filter gain, 120.0 dB attenuation
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
100.000000	-108.090620	0.381744	-124.903752	-0.099337	-9.966010	-0.089060	-22.549077	-0.267536
200.000000	-120.487700	-0.479113	-113.990973	0.051088	-7.928883	-0.095797	-24.762342	-0.255049
300.000000	-108.105059	0.227986	-104.996547	-0.241996	-6.735076	-0.254973	-24.764162	-0.245907
400.000000	-119.218337	0.371789	-117.077318	0.010208	-11.144733	-0.211139	-24.682824	-0.239544
500.000000	-114.042506	0.218393	-113.265031	0.298923	-14.596355	-0.284827	-24.565517	-0.234996
600.000000	-117.583439	0.023211	-122.541896	-0.045957	-11.398548	-0.230236	-24.430360	-0.231715
700.000000	-121.264430	0.342487	-116.298953	-0.053279	-8.980043	-0.295374	-24.318145	-0.228953
800.000000	-120.630148	-0.089531	-120.020694	-0.049731	-7.447925	-0.328427	-24.196736	-0.226317
900.000000	-123.629853	0.178934	-117.323504	-0.027125	-7.862953	-0.367185	-24.070053	-0.224216
1000.000000	-127.837787	0.140902	-109.244682	-0.220503	-7.035324	-0.376626	-23.945307	-0.222429
1100.000001	-132.392763	0.450240	-124.470859	-0.091940	-6.435405	-0.402794	-23.823767	-0.220913
1200.000001	-122.367545	0.463409	-116.139413	-0.324621	-6.340030	-0.417679	-23.706052	-0.219615
1300.000001	-120.658116	-0.379142	-115.331825	-0.248868	-5.815815	-0.431477	-23.591694	-0.218497
1400.000001	-121.359480	0.478919	-112.889216	-0.340926	-5.920273	-0.441854	-23.479683	-0.217551
1500.000001	-120.623177	-0.266317	-113.332034	-0.153592	-4.886320	-0.437703	-23.374238	-0.216777
1600.000001	-123.750765	-0.298171	-114.449113	-0.230217	-3.600316	-0.466559	-23.273552	-0.216062
1700.000001	-132.420301	-0.472543	-117.588048	-0.178140	-4.549769	-0.482177	-23.174372	-0.215478
1800.000001	-119.621540	-0.346968	-118.166245	-0.353272	-4.329480	-0.481272	-23.079679	-0.214969
1900.000001	-122.437057	0.138424	-123.437153	-0.442506	-3.767732	-0.484468	-22.987698	-0.214535
2000.000001	-111.260470	-0.314751	-113.000801	-0.422261	-3.347078	-0.494781	-22.899555	-0.214189
2100.000001	-121.943710	0.486124	-112.811017	-0.333539	-3.343981	0.496699	-22.813911	-0.213907
2200.000001	-125.585540	-0.002049	-114.637275	-0.376548	-3.330872	0.495163	-22.732577	-0.213688
2300.000001	-131.240739	-0.273277	-115.282734	-0.326283	-3.063381	0.495262	-22.653808	-0.213513
2400.000001	-116.494396	-0.098143	-111.829282	-0.387996	-2.666122	0.495475	-22.578230	-0.213379
2500.000001	-113.484914	0.403937	-112.430599	-0.419226	-2.219616	0.491868	-22.505427	-0.213275
2600.000001	-123.712476	0.341631	-112.544374	-0.328832	-1.864341	0.487585	-22.435115	-0.213208
2700.000001	-132.025769	-0.227090	-113.780405	-0.460377	-1.606365	0.484233	-22.367120	-0.213181
2800.000001	-117.318255	-0.267551	-114.685133	-0.305600	-1.339018	0.482251	-22.301503	-0.213180
2900.000001	-116.827651	-0.340494	-111.900834	-0.413436	-1.010918	0.480647	-22.238255	-0.213208
