% f2029.txt
% Date Thu, Jun 24, 2021 6:53 PM
% Ascending Sine seq
% Response spectrum
% Stim level (V pk) 0.100, 0 dB filter gain, 120.0 dB attenuation
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
100.000000	-4.342696	0.174198	-113.627391	0.215489	-19.582422	-0.462068	-36.990460	-0.266646
200.000000	-15.803989	0.009350	-142.041696	-0.318235	-21.802934	0.499718	-39.342378	-0.255097
300.000000	-20.314264	-0.013779	-106.717927	0.203555	-18.898881	-0.484161	-39.339333	-0.246122
400.000000	-23.343975	-0.032790	-120.606919	0.193261	-15.865743	0.457381	-39.261566	-0.239596
500.000000	-25.917275	-0.044194	-114.531969	0.326966	-13.557467	0.421831	-39.146474	-0.235034
600.000000	-27.275836	-0.040375	-123.056109	-0.265896	-13.438396	0.403872	-39.011231	-0.231790
700.000000	-28.255808	-0.059775	-124.261403	-0.490851	-12.478366	0.403588	-38.898786	-0.229014
800.000000	-29.857699	-0.079306	-113.110462	-0.475364	-11.869625	0.395273	-38.777490	-0.226392
900.000000	-31.231981	-0.089713	-111.873382	-0.357651	-11.401393	0.391414	-38.653042	-0.224292
1000.000000	-31.942695	-0.096957	-113.794438	-0.199599	-11.008328	0.381116	-38.530313	-0.222491
1100.000001	-33.117225	-0.107730	-124.046994	-0.101753	-10.836392	0.376678	-38.409953	-0.220949
1200.000001	-34.024512	-0.117339	-115.166626	-0.333528	-10.365573	0.373611	-38.292209	-0.219629
1300.000001	-34.929705	-0.125144	-118.390019	0.414424	-10.257162	0.367968	-38.179825	-0.218476
1400.000001	-35.836269	-0.130838	-115.215098	0.435503	-10.133141	0.369525	-38.068272	-0.217500
1500.000001	-36.234841	-0.135617	-121.478543	-0.429017	-9.780536	0.368828	-37.964377	-0.216736
1600.000001	-36.344499	-0.140122	-118.501327	0.398673	-9.452420	0.370252	-37.860696	-0.215974
1700.000001	-37.316381	-0.156389	-119.706031	0.432889	-8.838063	0.369055	-37.761916	-0.215369
1800.000001	-37.914314	-0.167646	-129.447818	-0.277483	-8.451568	0.363309	-37.668744	-0.214806
1900.000001	-38.546137	-0.177261	-115.208558	-0.415563	-8.186688	0.356637	-37.577484	-0.214368
2000.000001	-39.140105	-0.185216	-115.869951	-0.429964	-8.119416	0.352107	-37.489937	-0.213964
2100.000001	-39.649246	-0.192748	-112.176951	0.448296	-8.039616	0.350400	-37.405834	-0.213645
2200.000001	-40.196301	-0.195696	-118.287612	0.208154	-7.863737	0.349645	-37.324992	-0.213402
2300.000001	-40.466165	-0.205585	-113.529134	0.387882	-7.685812	0.348585	-37.245199	-0.213193
2400.000001	-40.827698	-0.211078	-116.293736	0.484865	-7.402059	0.347568	-37.169430	-0.213011
2500.000001	-41.191898	-0.222214	-114.694118	0.089207	-7.121246	0.343751	-37.094972	-0.212871
2600.000001	-41.796697	-0.230723	-121.519692	0.484346	-6.982673	0.340053	-37.023807	-0.212804
2700.000001	-42.074189	-0.235769	-117.248616	0.298962	-6.891013	0.336627	-36.955874	-0.212732
2800.000001	-42.347651	-0.244184	-120.555057	-0.427130	-6.850234	0.334582	-36.888330	-0.212683
2900.000001	-42.346684	-0.252810	-112.315536	0.425631	-6.733420	0.334043	-36.824869	-0.212694
3000.000001	-43.608219	-0.262264	-120.637945	-0.333627	-6.599727	0.332735	-36.763868	-0.212707
3100.000001	-43.549605	-0.262562	-119.923078	0.377453	-6.415266	0.331262	-36.702847	-0.212722
3200.000001	-43.707628	-0.274266	-127.088846	0.314862	-6.272060	0.330217	-36.643526	-0.212777
3300.000002	-44.218977	-0.278799	-116.088765	0.425655	-6.102430	0.329386	-36.588928	-0.212844
3400.000002	-44.521206	-0.283186	-118.762474	-0.427928	-5.904702	0.326165	-36.533372	-0.212932
3500.000002	-44.930481	-0.283521	-116.860716	0.474447	-5.816798	0.322705	-36.480414	-0.213065
3600.000002	-44.669121	-0.289887	-115.595223	0.440312	-5.751751	0.321800	-36.428457	-0.213131
3700.000002	-44.894886	-0.300105	-138.364617	0.334108	-5.646976	0.320898	-36.378685	-0.213277
3800.000002	-45.316604	-0.317859	-146.637923	-0.027907	-5.455882	0.320244	-36.329268	-0.213413
3900.000002	-45.779990	-0.319460	-122.855755	0.006962	-5.267605	0.318105	-36.282214	-0.213553
4000.000002	-45.742431	-0.316545	-120.798561	0.011940	-5.112092	0.315296	-36.235015	-0.213711
4100.000002	-46.218121	-0.325901	-119.498599	0.214545	-4.994793	0.313404	-36.190909	-0.213894
4200.000002	-46.526481	-0.329122	-116.647426	0.326799	-4.826670	0.311907	-36.146956	-0.214074
4300.000002	-46.515957	-0.334992	-119.113758	-0.317118	-4.618369	0.309600	-36.104050	-0.214280
4400.000002	-46.510036	-0.318575	-116.622176	0.477289	-4.356708	0.305869	-36.062463	-0.214517
4500.000002	-45.869191	-0.318059	-118.735419	-0.313506	-4.124969	0.299230	-36.022237	-0.214770
4600.000002	-44.522041	-0.326181	-123.264148	-0.441895	-4.122584	0.290426	-35.988525	-0.215002
4700.000002	-45.038835	-0.349195	-125.109774	0.267005	-4.413635	0.283910	-35.954109	-0.215172
4800.000002	-44.775752	-0.367878	-122.289713	0.304531	-4.682838	0.284147	-35.918825	-0.215313
4900.000002	-44.121438	-0.381463	-136.523883	0.329563	-4.746947	0.286294	-35.882487	-0.215478
5000.000002	-44.859188	-0.389963	-117.900516	-0.440628	-4.667309	0.287020	-35.845776	-0.215618
5100.000002	-44.673434	-0.407888	-112.296715	-0.157826	-4.590899	0.286360	-35.810234	-0.215808
5200.000002	-44.893183	-0.423746	-119.627078	-0.260843	-4.509999	0.285477	-35.776244	-0.216007
5300.000002	-45.065884	-0.425749	-118.288379	0.058012	-4.443997	0.284523	-35.741962	-0.216224
5400.000002	-45.703168	-0.445800	-120.837405	-0.402284	-4.355016	0.283187	-35.709253	-0.216418
5500.000003	-45.649761	-0.448764	-117.188087	-0.330538	-4.295866	0.281760	-35.675124	-0.216605
5600.000003	-45.594276	-0.458003	-122.548447	-0.417665	-4.215755	0.280525	-35.643583	-0.216854
5700.000003	-45.702966	-0.466943	-121.056729	-0.242749	-4.133265	0.278554	-35.608471	-0.217105
5800.000003	-44.587341	-0.459178	-115.990331	-0.435756	-4.062788	0.276488	-35.588855	-0.217373
5900.000003	-44.976232	-0.485095	-119.585698	0.426233	-4.017704	0.274011	-35.555991	-0.217532
6000.000003	-45.732984	-0.495530	-116.634741	-0.492658	-3.994642	0.271766	-35.525700	-0.217753
6100.000003	-45.820691	0.481154	-122.701050	-0.464603	-3.999918	0.269686	-35.497787	-0.217993
6200.000003	-46.255449	0.476115	-111.379968	-0.222012	-3.986197	0.267897	-35.469273	-0.218189
6300.000003	-46.325885	0.473407	-114.044194	-0.236753	-3.964436	0.266571	-35.442203	-0.218419
6400.000003	-46.428353	0.468904	-118.067033	-0.418140	-3.913645	0.265060	-35.415397	-0.218643
6500.000003	-46.371739	0.466237	-111.610123	-0.263007	-3.863686	0.263321	-35.389115	-0.218893
6600.000003	-46.203809	0.453056	-112.161787	-0.398665	-3.809170	0.260942	-35.362947	-0.219113
6700.000003	-45.737238	0.442355	-112.465490	-0.413620	-3.767646	0.258364	-35.336310	-0.219343
6800.000003	-45.553732	0.433384	-109.207756	-0.306059	-3.759697	0.255251	-35.311992	-0.219597
7000.000003	-44.377919	0.394217	-109.359377	-0.334966	-3.833483	0.248770	-35.266131	-0.220144
7100.000003	-45.145381	0.365932	-112.346309	-0.236376	-3.979514	0.246326	-35.242208	-0.220311
7200.000003	-45.617860	0.331049	-110.793859	-0.382052	-4.144356	0.245976	-35.219136	-0.220531
