% f101.txt
% Date Thu, Jun 24, 2021 5:16 PM
% Sine seq
% Response spectrum
% Stim level (V pk) 0.500, 0 dB filter gain, 120.0 dB attenuation
% Stim RMS (V) 0.000
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
100.000000	-73.983666	0.289905	-114.997082	-0.002528	-77.846179	-0.301808	-118.654426	-0.384868
200.000000	-81.156858	0.276880	-119.989805	0.383821	-65.180659	-0.461995	-117.545198	0.493967
300.000000	-85.215606	0.325727	-103.462691	0.216627	-49.610283	0.069357	-105.826422	-0.228029
400.000000	-85.255950	0.336840	-110.733336	0.439886	-70.940697	-0.001956	-110.393907	-0.366084
500.000000	-89.604380	0.304229	-113.954997	-0.347352	-65.435718	0.304193	-117.487392	0.038471
600.000000	-88.364116	0.386290	-115.865349	0.164704	-73.386333	0.229260	-118.715923	0.261778
700.000000	-95.008172	0.337238	-130.853977	0.202230	-64.110099	-0.012871	-126.804267	0.183149
800.000000	-92.645300	0.495457	-115.712484	0.253144	-72.105433	-0.311477	-116.804744	0.499775
900.000000	-89.978499	0.416930	-125.129039	-0.162371	-62.080568	0.423806	-119.185242	-0.012580
1000.000000	-90.400542	0.355675	-114.294149	-0.383666	-66.797699	-0.128888	-121.928984	-0.221361
1100.000001	-93.851184	0.218528	-119.037317	-0.275106	-77.145149	-0.128253	-119.256301	-0.058689
1200.000001	-95.834803	-0.471687	-125.418357	-0.032709	-82.491860	0.229804	-113.466860	0.032602
1300.000001	-94.064806	0.391134	-117.594012	0.342683	-74.484772	0.024031	-117.183823	0.267102
1400.000001	-89.216160	-0.388322	-118.817786	0.473722	-68.777519	0.067135	-116.466958	-0.411288
1500.000001	-96.300351	-0.394875	-118.962314	-0.281807	-71.480840	0.154902	-118.784526	-0.460171
1600.000001	-98.464487	-0.444507	-126.709746	-0.263403	-71.681127	0.056430	-118.214191	0.145977
1700.000001	-87.013115	-0.480985	-124.020330	0.465810	-71.988698	-0.448228	-128.739331	-0.082233
1800.000001	-89.811505	-0.392817	-135.254059	-0.145693	-72.974934	0.031238	-128.439707	-0.328949
1900.000001	-101.263518	-0.411733	-119.695190	0.175342	-73.848605	0.015493	-120.525501	0.333225
2000.000001	-86.502107	0.278900	-116.149093	0.189329	-65.927845	0.213993	-123.546625	-0.409061
2100.000001	-90.655199	-0.244296	-117.172531	-0.365866	-76.581680	0.405591	-115.775418	-0.273832
2200.000001	-90.905945	0.464214	-123.604128	-0.129933	-73.353061	-0.424082	-123.245736	-0.329881
2300.000001	-91.440833	0.464693	-117.622596	0.247698	-70.059330	0.066857	-123.072536	0.332959
2400.000001	-85.618179	-0.091600	-118.560896	-0.024985	-76.141211	-0.226023	-118.836533	-0.239009
2500.000001	-83.506976	-0.179653	-125.657046	0.016137	-72.395968	-0.395331	-123.465115	-0.026827
2600.000001	-91.285191	-0.411021	-121.897541	-0.046791	-70.316212	-0.275795	-115.480033	-0.443336
2700.000001	-91.473910	0.007777	-123.936157	-0.108531	-79.059969	0.021620	-133.358360	0.322769
2800.000001	-100.646989	-0.346553	-121.546012	0.061159	-92.758908	-0.148393	-117.335265	0.212267
2900.000001	-86.117585	-0.275723	-118.951501	0.106822	-82.845978	0.205858	-123.667523	-0.235792
3000.000001	-98.434205	0.185636	-130.898368	-0.010822	-78.995194	0.237242	-120.098958	0.111433
3100.000001	-85.027715	-0.005165	-119.168608	-0.073240	-90.414154	0.290816	-119.389780	-0.002399
3200.000001	-90.769788	0.392887	-129.879450	0.009264	-80.440718	0.104982	-120.406017	-0.229720
3300.000002	-82.998750	-0.338261	-121.380142	-0.354074	-68.796838	0.173071	-118.217748	-0.408563
3400.000002	-88.611639	-0.328624	-119.422255	-0.005140	-98.350624	-0.436368	-118.785256	-0.359753
3500.000002	-98.017537	0.070562	-131.966139	-0.295640	-79.139017	0.407278	-114.594842	-0.054463
3600.000002	-86.539255	-0.327673	-121.567154	-0.354713	-81.637029	0.000645	-120.847050	0.467316
3700.000002	-93.013579	-0.077085	-114.403772	-0.376694	-76.761583	0.356838	-122.851128	-0.234564
3800.000002	-91.401590	-0.427681	-126.015030	-0.419636	-76.287938	0.109158	-124.452553	-0.365947
3900.000002	-96.874330	0.364529	-124.702824	0.101453	-71.777654	0.243331	-122.577011	0.239326
4000.000002	-98.950513	0.226200	-121.706126	0.069662	-76.690209	0.378616	-117.249963	0.491982
4100.000002	-78.788424	-0.000485	-124.913723	0.199228	-87.439258	-0.287687	-124.814413	0.288038
4200.000002	-84.033248	-0.132696	-124.026850	0.373129	-83.929952	0.495316	-126.161823	-0.357354
4300.000002	-92.339597	0.099720	-132.030510	-0.003076	-73.549358	-0.083002	-120.640449	-0.172677
4400.000002	-86.174078	-0.417428	-120.959841	0.040928	-82.011906	-0.234894	-121.217755	-0.321626
4500.000002	-88.408618	-0.468944	-121.087836	0.228158	-82.564812	0.312777	-119.237697	-0.194674
4600.000002	-81.527306	0.316281	-115.985969	0.329304	-85.362239	0.364580	-123.921580	0.329266
4700.000002	-85.955742	0.383768	-117.176585	0.289231	-74.888952	0.073495	-116.230287	0.247534
4800.000002	-82.461189	0.264570	-114.057079	0.137523	-72.900714	0.434130	-117.857046	-0.246975
4900.000002	-85.713998	0.468020	-118.611864	-0.491436	-82.983816	0.195811	-124.375962	0.392784
5000.000002	-88.645777	0.112182	-122.522655	0.479326	-75.796953	-0.418218	-126.855797	0.174482
5100.000002	-86.115297	-0.077344	-122.657524	-0.304841	-92.259531	-0.399107	-122.222930	-0.300725
5200.000002	-92.597479	-0.335151	-126.240483	0.309259	-81.288738	0.153719	-116.402246	0.087341
5300.000002	-81.521271	-0.494816	-125.734914	0.256193	-78.506244	0.284171	-115.533306	0.295152
5400.000002	-80.777077	-0.232147	-118.035337	0.498045	-76.110410	0.013131	-119.396547	0.268872
5500.000003	-83.617797	-0.037038	-116.244122	0.095523	-75.162914	0.045250	-124.027083	0.438882
5600.000003	-78.656268	-0.352553	-126.128427	-0.183108	-89.369512	0.164105	-121.040075	0.027238
5700.000003	-84.184044	-0.367564	-118.234128	0.292742	-86.224617	0.236922	-115.752382	0.157064
5800.000003	-82.704000	-0.186079	-115.685110	0.260780	-73.191365	-0.492760	-118.842038	0.263167
5900.000003	-87.315836	-0.493931	-123.343785	0.360860	-87.127811	-0.364484	-121.728981	-0.480277
6000.000003	-77.567649	-0.464764	-122.558971	0.440644	-83.415672	-0.053300	-113.182927	0.481054
6100.000003	-80.810708	-0.405283	-123.054403	0.348722	-71.043060	0.052923	-125.907003	0.107907
6200.000003	-86.417807	-0.071958	-132.938241	0.004876	-78.557169	-0.446846	-120.399195	0.217192
6300.000003	-80.695239	0.453103	-116.079374	0.240241	-78.034357	-0.462393	-120.339606	0.174654
6400.000003	-95.010919	-0.458065	-134.522561	0.054799	-72.070229	-0.058550	-118.071583	-0.433455
6500.000003	-84.040342	0.026099	-113.845855	0.374972	-78.934382	-0.115444	-119.437813	-0.235625
6600.000003	-76.705220	0.452350	-124.793472	0.499197	-82.865112	-0.194098	-130.046097	-0.453267
6700.000003	-79.736723	-0.317435	-123.429582	-0.022974	-77.555653	0.394791	-120.711128	0.200439
6800.000003	-84.369071	-0.174797	-126.434018	-0.248823	-87.906339	0.363139	-129.542162	-0.288810
6900.000003	-76.952464	-0.055216	-123.448159	-0.466526	-77.845818	-0.344547	-121.568743	0.314826
7000.000003	-84.235773	-0.119952	-117.921655	-0.202259	-73.812820	0.030140	-115.793391	-0.016106
7100.000003	-80.590777	0.223878	-124.761395	-0.044880	-79.542060	-0.198147	-117.624115	0.431787
7200.000003	-80.980798	-0.249757	-125.341813	0.390882	-85.965784	0.359373	-118.445746	0.240271
7300.000003	-78.264025	-0.449766	-128.862884	-0.058315	-73.960448	0.153417	-122.531144	0.453702
7400.000003	-89.166933	-0.003885	-116.404646	-0.202204	-77.967914	0.031700	-128.730997	-0.335473
7500.000003	-81.782097	0.129492	-131.141389	0.360026	-72.875565	-0.440107	-118.370839	0.431561
7600.000004	-75.275922	0.189333	-128.169010	-0.292177	-81.449794	-0.050304	-120.165428	0.067679
7700.000004	-90.546158	-0.318373	-126.767041	-0.047396	-77.583273	0.262358	-117.844272	0.068363
7800.000004	-80.000828	0.240781	-112.748420	0.252386	-78.727578	-0.083846	-116.163001	0.007535
7900.000004	-80.011917	-0.250926	-122.105978	0.310007	-79.664380	-0.350167	-124.977267	0.038630
8000.000004	-82.209503	-0.276633	-114.085267	0.457491	-81.322411	-0.127376	-112.506444	-0.363670
8100.000004	-102.175973	-0.419321	-119.162016	0.120974	-76.036478	0.301392	-123.361604	-0.209696
8200.000004	-75.611969	0.361773	-118.175173	-0.473013	-77.890322	0.473886	-115.903903	-0.439810
8300.000004	-76.899946	-0.467313	-123.525119	0.276894	-76.817284	-0.135228	-126.170354	0.316478
8400.000004	-81.406502	-0.304319	-115.809911	0.218449	-79.198555	-0.291528	-115.624098	0.203275
8500.000004	-81.363614	-0.379404	-115.498316	-0.228071	-79.552088	0.297679	-118.760900	0.363484
8600.000004	-79.102730	-0.451356	-124.791571	-0.093143	-77.166426	0.129948	-120.401731	0.034402
8700.000004	-80.599211	-0.006221	-123.780777	-0.357500	-82.209124	0.401396	-117.344324	-0.249538
8800.000004	-76.272092	0.345494	-120.875342	-0.052596	-85.552935	-0.361720	-117.682153	0.002350
8900.000004	-72.018274	-0.268705	-121.577469	0.177719	-82.670043	0.353872	-118.699803	-0.217853
9000.000004	-77.893864	-0.051649	-120.359015	-0.281104	-86.371252	-0.119267	-124.746650	0.403215
9100.000004	-86.716329	-0.218081	-118.832794	-0.261222	-75.572674	-0.242127	-112.076015	-0.363621
9200.000004	-33.796423	0.293284	-116.005284	-0.312219	-10.075483	0.182435	-20.746673	-0.225755
9300.000004	-78.417004	-0.245681	-128.289557	-0.314045	-79.895761	-0.276203	-130.402212	0.174193
9400.000004	-79.534260	0.084096	-118.228557	0.084010	-79.165147	-0.006927	-119.319497	-0.063087
9500.000004	-79.532407	0.499520	-115.908037	0.436904	-77.474162	0.040043	-119.073877	-0.266637
9600.000004	-76.787922	-0.444228	-127.015068	0.350328	-82.876515	-0.313853	-105.118993	-0.004984
9700.000004	-78.109220	0.366430	-118.764856	-0.232311	-78.230337	0.316694	-123.467370	0.337785
9800.000005	-92.328117	0.190431	-120.269092	-0.062469	-92.762623	0.398189	-122.988114	-0.226477
9900.000005	-84.255762	0.447668	-121.795296	-0.367724	-89.580249	-0.038555	-125.897447	0.256299
10000.000005	-77.010936	-0.371348	-138.276471	-0.391659	-83.457374	0.083945	-120.987346	0.260016
10100.000005	-72.650704	0.368456	-125.496389	0.205845	-83.049878	-0.224269	-116.491366	-0.472209
10200.000005	-81.577072	0.118673	-117.050590	-0.115128	-84.239783	0.480795	-119.578727	0.392224
10300.000005	-82.906141	-0.201355	-132.366648	0.490412	-78.254498	-0.135009	-115.923147	-0.026139
10400.000005	-97.588309	-0.143704	-130.678024	0.269157	-81.252014	0.170932	-115.536726	-0.043223
10500.000005	-83.472630	-0.399934	-123.194153	-0.249274	-87.554404	0.202313	-115.224849	0.343228
10600.000005	-69.739326	-0.034602	-118.582233	0.267054	-80.526744	0.140811	-123.434735	0.464948
10700.000005	-75.841635	-0.459472	-119.003385	0.492210	-82.660690	0.271169	-120.436999	-0.489958
10800.000005	-87.467308	-0.357572	-123.964020	-0.325428	-85.810052	-0.138438	-113.728085	-0.213411
10900.000005	-79.390386	0.251688	-118.331726	-0.241526	-77.823002	0.472663	-119.123433	0.123727
11000.000005	-70.632497	0.386317	-116.983573	0.350439	-79.925855	0.338079	-123.787869	0.225051
11100.000005	-82.243000	-0.018495	-129.482096	-0.166918	-79.192518	-0.392503	-110.193391	-0.244501
11200.000005	-78.023816	-0.497871	-119.048312	0.438117	-82.905891	0.321422	-116.375588	0.015242
11300.000005	-89.639241	0.079116	-125.361297	0.034399	-80.667617	-0.048619	-121.153076	-0.366026
11400.000005	-80.594680	0.089641	-118.414240	0.459280	-78.558011	-0.144803	-117.903471	0.396059
11500.000005	-72.849877	-0.005936	-122.459072	0.259574	-88.835679	-0.298320	-123.869843	0.319661
11600.000005	-77.394002	-0.131568	-120.749488	0.417691	-89.754759	0.116961	-118.224898	0.106769
11700.000005	-77.805409	-0.289445	-118.480979	-0.487172	-78.518108	0.166234	-122.708260	-0.361275
11800.000005	-70.089474	0.342412	-124.111743	-0.151321	-80.862414	-0.374756	-129.336411	0.324686
11900.000005	-72.354963	-0.222145	-118.987654	0.279067	-80.564676	-0.448228	-119.046156	0.322160
12000.000006	-99.705547	0.295644	-132.531484	0.088477	-79.415825	-0.436018	-117.354825	0.421956
12100.000006	-78.411245	-0.044826	-117.978452	-0.194840	-77.915335	0.202665	-120.266016	-0.031655
12200.000006	-72.507556	-0.150305	-130.516448	-0.172676	-93.996842	-0.485421	-119.305672	-0.450402
12300.000006	-83.647894	-0.284134	-122.857496	-0.124325	-78.225465	0.417152	-119.572832	-0.448445
12400.000006	-77.242527	-0.082832	-126.754757	0.217125	-80.488972	-0.450260	-121.346912	0.012758
12500.000006	-78.102271	-0.085804	-125.080519	-0.030999	-83.221324	0.328965	-127.723409	0.279005
12600.000006	-71.836077	-0.394267	-115.609795	0.467384	-75.384442	0.011179	-123.673702	-0.378194
12700.000006	-76.979117	0.155366	-117.573722	0.038566	-87.549892	-0.447142	-121.004353	-0.374002
12800.000006	-72.838390	0.101732	-111.914887	0.069175	-82.362431	0.421372	-118.669833	0.455550
12900.000006	-79.699255	0.299845	-122.775727	0.413340	-89.567710	0.428522	-123.342610	0.085068
13000.000006	-77.443953	0.104239	-117.712681	0.377977	-83.861623	0.090065	-123.994640	-0.347786
13100.000006	-74.815105	0.014134	-125.917685	0.230223	-79.853602	-0.347722	-132.343704	-0.265822
13200.000006	-69.622335	0.475137	-122.293505	0.189937	-89.228225	0.437444	-118.996295	0.141486
13300.000006	-76.266436	-0.463201	-118.797151	-0.383003	-91.828360	-0.296785	-119.414420	0.342718
13400.000006	-75.076181	0.353456	-118.403355	-0.176831	-91.320016	-0.233011	-140.130270	0.376569
13500.000006	-81.492207	0.109686	-115.140010	-0.345589	-85.419448	0.108080	-116.091190	-0.164519
13600.000006	-69.723706	0.129813	-121.192533	-0.033493	-82.043361	0.050330	-102.225416	0.304890
13700.000006	-76.376017	0.365349	-122.970488	-0.291734	-78.529684	-0.168249	-115.385232	-0.226829
13800.000006	-76.738222	-0.304016	-118.256663	-0.064850	-87.227687	-0.443831	-124.448708	0.055931
13900.000006	-74.057280	0.195513	-122.239008	-0.099645	-79.487590	-0.028037	-122.019534	0.007702
14000.000006	-84.736394	-0.471148	-121.964139	-0.240584	-80.296305	-0.267601	-113.866985	0.479950
14100.000006	-74.444717	-0.070849	-116.814441	0.225794	-84.113569	-0.328016	-120.966056	0.416397
14200.000007	-93.336218	0.223436	-142.317880	0.146780	-82.461664	0.419756	-112.775913	0.163724
14300.000007	-73.056263	0.498663	-135.615235	0.457390	-89.515468	0.146328	-124.005909	0.007969
14400.000007	-73.244977	0.017494	-116.191364	-0.471281	-80.346410	0.351859	-111.564042	0.253913
14500.000007	-73.502473	0.054025	-119.017631	0.387961	-82.138293	-0.499209	-120.496341	0.304383
14600.000007	-70.071130	0.229690	-122.425482	-0.414766	-83.885516	0.287461	-117.022877	-0.233507
14700.000007	-86.076801	-0.332736	-117.518306	0.442234	-87.413229	0.479999	-120.497061	-0.332143
14800.000007	-73.673470	-0.017901	-128.266614	0.408421	-87.269761	0.208298	-115.647383	-0.199445
14900.000007	-84.121764	-0.161025	-134.495815	-0.342092	-83.296750	-0.347781	-123.804074	0.208418
15000.000007	-79.694444	-0.216831	-111.817985	0.168071	-83.258411	-0.328089	-123.168011	0.011457
15100.000007	-75.539024	0.445947	-123.838401	-0.132433	-79.023690	-0.307934	-127.895769	0.282800
15200.000007	-73.526584	0.036858	-125.762905	0.300126	-84.145976	-0.015098	-120.610686	-0.475019
15300.000007	-79.012710	-0.376112	-132.904624	-0.355107	-94.097646	0.260735	-135.155825	-0.426605
15400.000007	-75.043984	0.398322	-122.039826	0.282318	-79.892565	0.124663	-128.422878	0.476454
15500.000007	-71.412895	0.322700	-115.257322	0.052292	-83.651818	0.260419	-121.243687	-0.412711
15600.000007	-73.762463	0.239274	-117.966703	0.134121	-81.580330	-0.221080	-120.023776	0.335104
15700.000007	-79.000094	-0.159411	-116.513481	-0.238845	-78.480185	-0.027684	-118.940181	0.139021
15800.000007	-70.868912	-0.082712	-119.054939	0.261590	-79.090227	0.109214	-122.843034	0.001126
15900.000007	-75.886698	0.052606	-120.352165	0.358017	-81.847234	-0.284529	-128.928470	-0.304952
16000.000007	-68.037159	0.230504	-123.614963	0.072820	-75.305653	-0.174665	-117.692306	0.483405
16100.000007	-78.080911	0.490845	-117.010960	-0.386168	-77.692642	0.084727	-120.016792	0.398490
16200.000007	-74.204530	-0.375899	-119.941692	0.021044	-83.279341	-0.422311	-129.874053	-0.251717
16300.000008	-76.256444	0.464681	-117.802581	0.218567	-85.574215	0.227211	-118.454048	0.167897
16400.000008	-71.536729	0.105980	-119.478544	0.156573	-80.838984	0.470005	-114.774529	0.405390
16500.000008	-76.803225	0.146731	-118.599563	0.000129	-86.354129	0.071779	-133.134840	-0.296526
16600.000008	-75.974011	-0.086955	-119.461822	-0.431820	-87.911308	-0.061420	-123.209120	-0.094847
16700.000008	-66.960667	-0.320825	-126.533044	0.196283	-81.905701	-0.346444	-115.507208	0.181200
16800.000008	-74.326623	-0.361802	-129.217358	-0.162587	-81.742721	-0.189730	-111.918712	0.459006
16900.000008	-74.653338	-0.373087	-133.147593	0.313486	-81.529401	0.417405	-122.896092	-0.332798
17000.000008	-76.556947	-0.273699	-115.861655	-0.305684	-84.012122	-0.013965	-120.301883	0.433308
17100.000008	-73.507521	0.174833	-118.111236	0.019884	-80.423427	-0.328813	-123.691735	0.454593
17200.000008	-73.876276	0.269151	-123.659898	0.130264	-75.892324	0.052666	-120.355676	0.089772
17300.000008	-75.966645	-0.210755	-116.314182	-0.330429	-77.730158	0.341737	-119.989388	0.348529
17400.000008	-86.446360	-0.096620	-123.137993	0.046795	-86.991602	-0.443361	-119.886036	0.486209
17500.000008	-74.669373	0.405303	-116.986264	-0.417719	-80.656144	-0.133567	-130.392610	-0.307521
17600.000008	-74.746415	0.223636	-139.809215	-0.359531	-82.185896	-0.003174	-117.059069	0.097607
17700.000008	-76.347575	0.360045	-114.066433	0.086693	-93.797467	0.087741	-121.090171	-0.006475
17800.000008	-73.886247	0.138539	-122.275475	-0.425779	-88.023108	0.000456	-115.401044	0.178518
17900.000008	-78.851440	0.024737	-123.274523	0.258482	-83.629346	-0.381193	-121.563208	0.051051
18000.000008	-78.975378	0.448836	-115.242054	-0.191540	-75.199759	-0.161260	-115.820503	0.391140
18100.000008	-72.150573	0.143296	-123.114923	0.306465	-81.370871	-0.184342	-112.686192	0.256518
18200.000008	-74.007041	-0.200281	-124.765490	-0.432514	-88.099411	0.465224	-114.088355	-0.171684
18300.000008	-72.757521	0.330422	-126.586834	0.401947	-84.957532	-0.401874	-131.243853	-0.245627
18400.000008	-78.509997	0.302478	-119.468637	0.384649	-75.487596	0.063127	-104.974883	0.200119
18500.000009	-72.767124	-0.300040	-124.703151	-0.340880	-85.002202	-0.322133	-128.006022	-0.324608
18600.000009	-78.160972	-0.392987	-114.904406	-0.399392	-86.411637	-0.229195	-122.268732	-0.001357
18700.000009	-71.421193	-0.238954	-114.972223	0.084062	-79.508056	0.479006	-115.622628	0.276469
18800.000009	-77.291897	0.469769	-117.577486	-0.216901	-93.214258	-0.366336	-106.438421	0.219585
18900.000009	-75.700941	0.084001	-119.916274	0.064236	-93.843735	-0.460929	-118.843624	0.443390
19000.000009	-80.915625	0.003931	-118.894890	0.015476	-97.144162	-0.267037	-119.354970	-0.353617
19100.000009	-69.455785	0.308227	-129.600785	0.232008	-81.615945	-0.381364	-116.645753	-0.384117
19200.000009	-78.353980	0.255147	-122.367596	0.429494	-86.084088	0.384733	-122.366313	-0.265004
19300.000009	-76.123370	0.307649	-119.549987	0.181914	-87.515521	-0.278224	-119.404825	0.311157
