% f138.txt
% Date Sat, Jun 26, 2021 6:00 PM
% Sine
% Response spectrum
% Stim level (V pk) 0.500, 0 dB filter gain, 120.0 dB attenuation
% Stim RMS (V) 0.000
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
10.000000	-116.296389	-0.452597	-113.849115	-0.151857	-69.114822	0.042393	-114.040782	0.323153
20.000000	-122.757587	-0.308927	-125.348813	0.286878	-69.759951	-0.234576	-131.006616	-0.480308
30.000000	-122.454711	0.388742	-136.452101	-0.422549	-61.430555	0.371149	-114.757569	0.120655
40.000000	-131.615408	0.280684	-126.757946	-0.164077	-62.005573	-0.461691	-120.403477	-0.414927
50.000000	-121.719081	0.084409	-124.443656	-0.024539	-63.304564	0.029587	-125.633492	-0.439516
60.000000	-96.666329	0.431203	-89.949976	-0.282506	-66.328668	-0.160444	-101.741425	0.162806
70.000000	-126.779428	-0.075572	-133.281075	-0.039769	-70.934272	0.190156	-120.932022	0.124734
80.000000	-125.131506	0.135091	-120.690944	0.384413	-69.579725	-0.027717	-117.246540	-0.098577
90.000000	-123.237345	0.090753	-125.582921	-0.039926	-10.268850	-0.320999	-23.226268	-0.249001
100.000000	-123.268057	0.301827	-125.632340	0.036504	-60.132073	-0.069733	-139.100131	-0.357863
110.000000	-127.935096	0.494288	-125.059822	-0.383945	-56.817574	0.333294	-131.338742	0.113695
120.000000	-121.821128	-0.038074	-120.671098	0.063917	-70.100617	-0.453770	-124.156222	-0.241232
130.000000	-134.809836	0.219258	-120.455200	0.053748	-61.057282	-0.016241	-130.931316	0.104131
140.000000	-125.715345	-0.156001	-127.168286	-0.032993	-66.387811	-0.310336	-128.377397	-0.242661
150.000000	-127.851746	0.132687	-127.534652	-0.159263	-57.615916	0.072724	-129.591760	0.467470
160.000000	-129.224146	0.140490	-121.313737	0.124842	-70.763209	-0.213762	-128.706942	-0.004994
170.000000	-125.622402	-0.472081	-125.211087	-0.172755	-62.690152	0.093409	-120.622281	0.220302
180.000000	-107.824830	-0.279578	-95.213733	-0.336461	-13.018893	0.279272	-88.429839	0.388957
190.000000	-120.943811	0.099011	-126.525976	-0.278336	-57.197430	0.172361	-129.706639	-0.492979
200.000000	-127.317241	-0.291055	-132.817230	0.196426	-56.696674	0.122844	-132.542619	0.016821
