% f28.txt
% Date Sat, Jun 26, 2021 5:11 PM
% Ascending Sine seq
% Response spectrum
% Stim level (V pk) 0.500, 0 dB filter gain, 120.0 dB attenuation
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
40.000000	-127.344846	-0.124646	-116.020004	-0.219210	-43.665899	0.090527	-25.110559	-0.232647
50.000000	-122.898669	-0.308264	-118.984359	0.173968	-27.579556	0.009206	-24.854038	-0.228279
60.000000	-97.427561	0.208284	-89.707408	-0.498080	-20.356798	-0.435713	-24.450708	-0.224521
70.000000	-119.055071	0.333381	-134.834415	0.121832	-9.631772	0.379055	-23.808589	-0.223843
80.000000	-125.914881	0.363132	-120.845656	0.354356	-11.688920	-0.227673	-23.030581	-0.231335
100.000000	-121.985251	0.329214	-115.526453	0.276373	-24.738933	0.456665	-23.028062	-0.266133
110.000000	-127.276145	0.324545	-125.083325	0.331507	-27.622925	0.304880	-23.709602	-0.273074
130.000000	-126.936498	0.132578	-133.895177	0.401230	-17.327828	-0.374423	-24.648779	-0.270850
160.000000	-124.907558	0.449566	-122.154947	-0.374669	-32.615129	-0.417992	-25.178316	-0.261764
190.000000	-124.584090	0.200748	-119.885749	0.134671	-21.883490	-0.037369	-25.321404	-0.254900
230.000000	-125.122956	0.268979	-123.887847	0.136048	-25.945855	0.459176	-25.341049	-0.248311
270.000000	-121.936377	0.317900	-120.139044	0.484898	-28.185935	-0.438539	-25.298854	-0.245073
320.000000	-122.520713	0.453466	-122.465624	0.293960	-25.083168	0.465656	-25.315795	-0.240587
380.000000	-119.847042	0.472163	-125.240952	-0.439332	-25.666467	0.474898	-25.260175	-0.235961
450.000000	-127.364606	0.079604	-125.832566	0.370176	-26.210597	0.443168	-25.346773	-0.231514
540.000000	-120.609511	0.333806	-114.630080	-0.315609	-24.790975	0.418451	-25.204326	-0.226760
640.000001	-129.440637	0.344232	-126.911450	0.291465	-23.707900	0.401508	-25.068462	-0.222474
760.000001	-121.915873	0.420357	-134.727567	0.256172	-23.308305	0.389022	-24.911947	-0.217786
910.000001	-127.665464	0.113588	-122.435117	-0.493648	-22.852617	0.378907	-24.708495	-0.212693
1080.000001	-124.423146	0.021521	-120.827440	0.231780	-22.372958	0.370121	-24.487298	-0.207832
1280.000001	-148.487811	-0.067283	-129.306080	-0.231242	-22.075703	0.361200	-24.243404	-0.202965
1520.000001	-123.439388	0.093633	-117.173908	0.211855	-21.711419	0.357354	-23.967510	-0.198061
1810.000002	-130.984077	0.142405	-126.606552	0.146928	-21.378961	0.353278	-23.655995	-0.192963
2150.000002	-120.997857	0.263162	-129.386678	0.456208	-21.213092	0.372081	-23.317618	-0.187992
2560.000002	-121.925280	-0.361104	-125.169986	-0.017112	-19.935291	0.337209	-23.046784	-0.182892
3040.000003	-129.617504	0.194315	-123.748135	0.282217	-19.812891	0.343112	-22.716146	-0.177279
3620.000003	-118.774048	0.389124	-119.798033	0.349882	-19.149987	0.346121	-22.386875	-0.171240
