% f111.txt
% Date Sat, Jun 26, 2021 5:38 PM
% Sine seq
% Response spectrum
% Stim level (V pk) 0.500, 0 dB filter gain, 120.0 dB attenuation
% Stim RMS (V) 0.000
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
10.000000	-115.679373	-0.337320	-124.640518	-0.414934	-77.131095	0.405390	-123.048908	-0.204970
20.000000	-122.038198	0.321986	-111.520890	0.165863	-70.220998	-0.027717	-120.898770	0.309404
30.000000	-121.584712	0.315868	-120.211865	0.113443	-67.398817	0.383997	-118.631958	0.359781
40.000000	-129.255999	-0.080099	-124.387733	0.340981	-64.405325	0.118837	-112.766477	-0.397312
50.000000	-126.259634	0.036251	-128.745255	0.138667	-66.920465	0.415613	-116.003288	-0.257865
60.000000	-97.121681	0.209159	-89.750285	0.492570	-69.533372	-0.204090	-100.318547	-0.033708
70.000000	-128.615686	0.036619	-123.137715	0.325528	-67.500715	-0.443321	-120.979253	0.455869
80.000000	-122.795943	0.364064	-121.046606	-0.413045	-60.214001	-0.420447	-123.872648	-0.449550
90.000000	-131.029245	-0.167756	-118.648126	-0.126738	-60.909479	0.054144	-124.156730	-0.239498
100.000000	-124.257166	0.068307	-124.538959	0.228953	-66.513891	-0.393010	-120.450049	0.184520
110.000000	-119.287332	0.290854	-136.056818	-0.363007	-65.929465	-0.274671	-133.966139	0.473399
120.000000	-128.514033	-0.209600	-121.781341	-0.170854	-65.122536	-0.441968	-124.347880	-0.398958
130.000000	-120.886877	-0.255909	-130.675963	-0.237105	-74.693676	0.417704	-136.092138	-0.028155
140.000000	-121.332249	0.305440	-125.253438	0.406032	-55.639674	0.206044	-123.447772	0.370359
150.000000	-121.236134	0.266408	-121.228255	-0.425125	-62.701643	0.399446	-122.129331	-0.374808
160.000000	-123.180656	-0.033035	-119.535177	0.229025	-63.067883	0.468950	-147.041750	-0.401859
170.000000	-124.984473	-0.248301	-121.213988	-0.264937	-62.337762	-0.295474	-121.986640	0.274368
180.000000	-105.495007	0.012696	-93.891760	-0.012331	-57.748756	0.168644	-94.733319	0.359288
190.000000	-131.273828	0.376107	-127.639794	0.060312	-59.417556	0.039790	-119.763386	0.459640
200.000000	-122.040009	0.384376	-125.951573	-0.190505	-57.227499	-0.368792	-128.418113	-0.255852
210.000000	-122.061793	-0.149989	-121.070300	-0.372440	-59.839209	0.416588	-123.054231	0.116055
220.000000	-124.464132	-0.019706	-123.588692	0.383721	-61.250307	-0.298439	-122.328107	-0.024304
230.000000	-121.869816	0.117373	-131.535255	-0.317070	-60.686398	-0.399246	-131.589018	-0.434549
240.000000	-121.737926	0.184966	-123.985136	0.055625	-63.953442	-0.258521	-120.552346	0.016831
250.000000	-128.515142	-0.421317	-122.259397	0.182214	-55.820410	0.043059	-120.914005	0.399476
260.000000	-120.137923	-0.251135	-120.448635	0.102164	-51.332364	0.177179	-121.237887	-0.476171
270.000000	-121.666387	0.114517	-121.016423	0.223872	-69.303052	0.482431	-119.702890	-0.457083
280.000000	-123.183786	0.455426	-122.490548	0.134728	-61.840181	-0.328568	-129.971850	-0.411482
290.000000	-118.376224	0.163032	-124.125600	-0.008180	-59.638784	0.121934	-118.649786	0.323273
300.000000	-108.547256	0.039838	-108.672240	0.489798	-56.701083	0.455930	-108.575582	-0.249913
310.000000	-120.565172	0.354131	-127.223889	0.318856	-72.698058	0.495123	-126.130908	-0.231938
320.000000	-119.826840	-0.239187	-122.220418	0.252746	-59.427615	0.330408	-127.701769	-0.298081
330.000000	-148.737818	-0.055771	-125.833978	-0.415372	-66.133140	-0.177374	-119.148766	0.423493
340.000000	-125.379427	-0.493394	-124.356889	-0.242698	-64.643607	-0.304079	-120.473504	-0.264710
350.000000	-121.375694	0.385989	-125.084469	0.440827	-65.820750	-0.072046	-124.925082	-0.078343
360.000000	-118.131082	-0.402196	-127.126477	0.416991	-61.328750	0.162965	-134.290196	-0.475035
370.000000	-127.595672	-0.437936	-126.973893	0.088240	-66.241777	-0.295805	-119.247411	-0.284115
380.000000	-141.080017	-0.290791	-124.287365	-0.106869	-70.553567	-0.171893	-131.369689	-0.314167
390.000000	-129.719248	0.108348	-129.191524	0.137841	-66.983227	0.018647	-121.640669	-0.105032
400.000000	-118.587970	-0.257499	-134.502942	-0.189373	-65.636438	-0.237270	-124.149390	0.174706
410.000000	-123.304992	-0.185693	-128.022532	0.302020	-59.158625	-0.246476	-124.827605	0.094072
420.000000	-128.448022	0.436031	-116.399776	-0.414362	-61.187095	0.316272	-121.578616	-0.447392
430.000000	-134.599839	-0.249004	-120.727300	0.360271	-67.799784	-0.006556	-126.276671	0.276418
440.000000	-118.075900	-0.342618	-122.393907	0.275980	-65.473781	0.223965	-127.686184	-0.022770
450.000000	-123.685208	-0.048835	-123.110736	0.459117	-57.254612	0.457725	-134.488959	0.473314
460.000000	-130.020122	-0.357891	-131.371004	0.114363	-65.016814	-0.174904	-125.646038	-0.013821
470.000000	-124.887179	-0.032277	-119.545967	0.167522	-59.729832	0.428473	-123.809504	0.281941
480.000000	-134.118985	-0.433474	-120.279283	-0.327681	-74.951152	-0.212896	-125.735899	-0.436658
490.000000	-124.294954	-0.010426	-126.359240	-0.089176	-61.207406	-0.277745	-133.213967	-0.145554
500.000000	-117.741327	-0.383417	-126.368567	-0.418563	-67.149534	0.321778	-126.123067	-0.235518
510.000000	-122.129282	-0.109858	-126.189957	-0.416507	-79.243836	-0.303696	-126.693319	-0.376863
520.000000	-146.531090	0.326041	-119.231464	-0.210718	-61.779938	0.022819	-121.663609	-0.163844
530.000000	-132.016839	-0.064880	-129.565383	-0.005555	-64.841137	0.404804	-133.052183	-0.056531
