% f91.txt
% Date Sat, Jun 26, 2021 5:33 PM
% Sine seq
% Response spectrum
% Stim level (V pk) 0.500, 0 dB filter gain, 120.0 dB attenuation
% Stim RMS (V) 0.000
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
10.000000	-116.472480	-0.291257	-112.558721	-0.332880	-68.352674	0.389908	-110.140690	-0.200384
20.000000	-115.508524	0.353520	-116.231842	0.210331	-68.196732	-0.273784	-110.597349	0.298013
30.000000	-119.855248	-0.458053	-118.428522	0.285916	-69.022424	0.470405	-112.984395	0.016995
40.000000	-120.458856	-0.171044	-123.642871	-0.242095	-71.768419	-0.067376	-125.265116	-0.067049
50.000000	-136.203884	-0.007120	-132.465486	0.169782	-58.924987	0.489555	-111.591895	0.031681
60.000000	-96.684922	-0.003965	-89.526892	0.273947	-66.778752	0.347306	-99.489742	-0.315956
70.000000	-115.522277	0.264018	-126.276454	-0.420637	-18.910461	0.494699	-23.816124	-0.223232
80.000000	-121.252190	0.348821	-124.606572	-0.245011	-63.567810	-0.309999	-110.605356	-0.005638
90.000000	-128.272740	0.156209	-122.334032	0.386962	-63.933008	0.217706	-114.892212	0.365453
100.000000	-118.577306	-0.174936	-125.597797	-0.403935	-74.365633	0.138838	-116.876354	-0.312802
110.000000	-133.356553	-0.066374	-119.540414	-0.342909	-53.231891	0.359035	-112.652425	0.499227
120.000000	-119.971389	0.267576	-118.795587	0.288390	-73.693802	0.315873	-122.697866	-0.077456
130.000000	-119.678124	0.296696	-122.025916	-0.216005	-63.768607	-0.327937	-110.264895	-0.403511
140.000000	-121.920661	0.015258	-117.645706	0.388921	-15.780935	-0.436454	-82.602878	-0.438743
150.000000	-123.844425	0.073290	-129.546387	-0.188867	-61.150661	0.135239	-116.938201	0.346547
160.000000	-118.302836	-0.384350	-120.389031	-0.107363	-68.224719	0.256687	-129.731734	-0.451774
170.000000	-120.993120	-0.375352	-121.612713	0.037947	-61.970924	-0.362968	-139.472907	0.237498
180.000000	-105.015100	0.362680	-93.407212	0.321359	-60.958226	0.244050	-94.218100	-0.300269
190.000000	-125.040091	0.299419	-123.755819	-0.254323	-69.933666	-0.491479	-117.527219	0.299934
200.000000	-122.311204	-0.328828	-117.762237	-0.288489	-64.821239	-0.032556	-123.362490	-0.177037
210.000000	-140.691421	-0.209312	-136.284853	0.007486	-71.505346	-0.346123	-92.124382	-0.099192
