% f629.txt
% Date Thu, Jul 15, 2021 5:01 PM
% Ascending Sine seq
% Response spectrum
% Stim level (V pk) 0.100, 0 dB filter gain, 120.0 dB attenuation
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
1000.000001	-38.650672	-0.218849	-18.140540	0.485892	-116.158408	0.459667	-124.515382	0.424780
1050.000001	-38.586431	-0.217943	-18.526311	0.466248	-112.253441	0.426132	-120.967128	-0.069373
1100.000001	-38.524597	-0.217084	-18.882736	0.476578	-107.445297	0.452889	-119.390541	0.487138
1150.000001	-38.463539	-0.216281	-17.822669	0.469294	-106.446396	-0.481934	-122.520577	-0.286144
1200.000001	-38.403021	-0.215532	-18.010243	0.455348	-122.544612	-0.283879	-117.533175	0.448469
1250.000001	-38.343796	-0.214792	-18.217303	0.452995	-124.563958	-0.491875	-119.325106	0.116703
1300.000001	-38.284837	-0.214135	-18.167466	0.457285	-113.575053	-0.389386	-123.146266	-0.401558
1350.000001	-38.227403	-0.213507	-17.836570	0.460507	-112.322594	0.327415	-120.103846	0.214967
1400.000001	-38.170304	-0.212931	-17.297334	0.463414	-112.881746	-0.474795	-135.827958	0.236678
1450.000001	-38.113861	-0.212399	-16.606046	0.457862	-107.976510	0.448788	-123.120726	0.420908
1500.000001	-38.061651	-0.211904	-16.101167	0.446952	-108.355742	0.473511	-127.565840	-0.433715
1550.000001	-38.007000	-0.211429	-16.170244	0.430260	-111.598388	0.462784	-126.791444	0.321091
1600.000001	-37.955510	-0.210927	-16.918319	0.424403	-117.727886	0.382867	-124.214142	0.004150
1700.000002	-37.850420	-0.210086	-17.243871	0.442035	-109.360889	0.377620	-115.608008	0.320957
1750.000002	-37.800883	-0.209718	-16.910148	0.449907	-112.882455	0.390795	-121.788169	0.279500
1800.000002	-37.751294	-0.209348	-16.398764	0.453304	-112.317263	0.311011	-124.023340	-0.062924
1850.000002	-37.702136	-0.209007	-15.993463	0.455544	-110.713176	0.351600	-117.098229	0.381564
1950.000002	-37.605857	-0.208393	-14.864993	0.456287	-112.147417	0.445980	-123.230472	-0.151605
2000.000002	-37.560014	-0.208124	-14.330661	0.453033	-106.399333	0.407205	-116.225718	0.360165
2050.000002	-37.512694	-0.207852	-13.823095	0.447082	-108.671006	0.393224	-117.566530	0.484445
2150.000002	-37.421293	-0.207392	-13.254457	0.432102	-109.116885	0.444970	-127.420319	-0.328685
2200.000002	-37.376854	-0.207184	-13.197166	0.425813	-108.757561	0.398504	-120.960805	0.458337
