% f465.txt
% Date Thu, Jul 15, 2021 4:45 PM
% Sine seq
% Response spectrum
% Stim level (V pk) 0.100, 0 dB filter gain, 120.0 dB attenuation
% Stim RMS (V) 0.000
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
42.002688	-113.715810	-0.444388	-52.551685	0.147409	-93.136763	-0.330339	-116.646058	-0.071902
84.005376	-111.888685	0.295200	-54.010547	0.323181	-101.752820	-0.495405	-129.005895	-0.311726
126.008065	-123.079869	-0.495813	-61.768689	0.316986	-105.225713	-0.308032	-127.459673	-0.238999
168.010753	-121.540647	0.061886	-58.003675	-0.024024	-111.462853	0.288740	-118.972403	-0.063592
210.013441	-121.655297	0.372561	-58.787467	-0.489833	-107.300650	0.414335	-115.044922	0.027244
252.016129	-110.944706	0.003340	-51.998868	0.188217	-111.243394	-0.149733	-123.201837	0.499484
294.018817	-126.625738	-0.404161	-49.338516	0.358563	-106.245766	0.299013	-122.702670	-0.327438
336.021506	-128.576993	-0.194080	-50.992452	-0.275639	-114.822779	0.153579	-123.862072	0.221912
378.024194	-126.791185	-0.473775	-54.167580	-0.010097	-115.554175	0.447722	-118.520984	-0.343806
420.026882	-110.714993	0.030990	-56.431445	0.066894	-111.783923	-0.244261	-122.183100	-0.415525
462.029570	-119.153283	-0.017960	-57.897013	-0.294697	-118.403269	0.120430	-126.040959	-0.015311
504.032258	-144.740289	0.390572	-69.894774	0.483917	-111.221650	0.436631	-124.026028	-0.159874
546.034946	-135.023301	0.115106	-57.573323	0.216972	-117.224226	0.120559	-119.834446	0.406223
588.037635	-120.157145	0.323521	-62.431742	0.160447	-110.044623	0.488973	-132.711500	0.006911
630.040323	-122.424038	-0.081975	-67.716000	-0.059477	-109.550474	0.004585	-119.727379	0.122203
672.043011	-128.402769	0.123146	-58.537754	0.279371	-113.905196	0.235686	-124.424850	0.113334
714.045699	-131.368647	0.134832	-57.354145	-0.122154	-111.756907	-0.409544	-123.533571	0.094008
756.048387	-122.870524	-0.364106	-57.788986	0.144688	-135.332363	-0.022873	-123.774991	-0.347725
798.051076	-130.554638	0.482388	-61.771120	0.310754	-119.447868	0.018767	-120.525640	-0.354564
840.053764	-122.200152	0.112993	-63.578384	0.032733	-111.133889	0.171269	-118.970146	-0.352390
882.056452	-115.222449	-0.308599	-68.564710	0.050004	-122.426459	-0.480909	-115.679194	-0.042530
924.059140	-135.610905	0.383225	-57.606929	0.053023	-119.520042	0.213115	-118.689805	-0.295875
966.061828	-119.514448	-0.345464	-58.704920	0.254656	-119.357877	-0.005866	-133.103905	-0.018721
1008.064517	-124.291774	0.024185	-77.087730	-0.308260	-118.537878	0.402943	-120.403580	0.067526
1050.067205	-138.081985	-0.101391	-58.002488	0.320439	-124.108047	-0.401479	-123.727818	0.252921
1092.069893	-122.153423	0.299047	-65.783079	0.368635	-110.677052	-0.148540	-120.516349	-0.221725
1134.072581	-122.885356	0.382530	-58.842656	0.246529	-121.969089	-0.404551	-119.634756	-0.447026
1176.075269	-121.365828	0.134894	-68.052352	-0.193259	-120.148718	0.472464	-122.199797	0.479563
1218.077958	-120.824528	0.092918	-57.156275	0.412137	-116.597000	-0.180769	-120.536871	0.372391
1260.080646	-118.061815	-0.138570	-58.658702	0.400114	-118.225911	0.242398	-130.034543	-0.157321
1302.083334	-134.784084	-0.391544	-68.399638	-0.484336	-116.321294	0.435403	-120.930657	-0.453542
1344.086022	-115.291700	0.362892	-65.942877	-0.383656	-142.451566	0.359733	-118.358923	0.318166
1386.088710	-117.928147	-0.125417	-80.847998	-0.131666	-121.117288	0.106451	-120.650504	-0.132154
1428.091399	-119.947053	0.374092	-68.051036	0.384331	-117.540164	0.370739	-119.333067	-0.064979
1470.094087	-129.414491	0.268771	-61.080915	0.231652	-117.063318	-0.235099	-123.022639	-0.081512
1512.096775	-122.942879	0.464466	-60.335437	0.280437	-117.988853	0.306380	-117.874732	0.144842
1554.099463	-120.114913	-0.135385	-64.767924	0.261498	-114.739323	0.463587	-122.366568	-0.109794
1596.102151	-124.665720	0.265880	-62.575454	-0.404343	-115.258514	0.007854	-118.893382	0.237769
1638.104839	-125.498288	-0.159283	-65.814565	-0.031234	-115.062923	-0.267618	-128.228607	0.303311
1680.107528	-125.988174	0.023738	-62.106183	0.052608	-114.827947	0.131007	-123.051190	0.173388
1722.110216	-126.886858	-0.095905	-70.024172	-0.366854	-120.675061	0.278423	-127.011551	-0.055367
1764.112904	-124.111001	-0.473478	-64.485745	0.130070	-123.497778	-0.017114	-134.331334	0.176284
1806.115592	-120.140377	0.473130	-64.885689	0.448832	-114.735297	-0.089703	-117.852253	-0.240584
1848.118280	-136.506121	0.335959	-58.424531	-0.377192	-120.197733	0.100162	-125.508312	0.074286
1890.120969	-121.136612	-0.024505	-67.206301	-0.195473	-119.211052	0.133596	-129.288204	-0.359536
1932.123657	-120.586213	-0.490576	-70.184174	0.301819	-120.167150	0.113632	-119.175666	0.277492
1974.126345	-118.979245	0.287845	-61.486256	0.179324	-122.701613	-0.006505	-123.082630	0.468920
2016.129033	-119.732598	-0.262877	-65.344690	0.044499	-144.976008	0.187563	-125.661262	-0.416442
2058.131721	-115.424376	-0.471677	-76.592877	0.450022	-118.159581	0.485786	-134.957759	0.320303
2100.134410	-118.171143	-0.289825	-58.042774	-0.033817	-114.915995	0.218587	-129.254221	-0.045160
2142.137098	-125.831056	0.205102	-71.676568	-0.357994	-121.894409	0.355431	-122.011046	0.277837
2184.139786	-123.696644	-0.089533	-71.314387	0.365074	-124.710069	0.085965	-125.281967	-0.191511
2226.142474	-118.659797	0.261640	-63.456220	-0.038429	-124.969435	0.378021	-124.137144	0.248225
2268.145162	-123.325179	-0.456572	-69.057603	0.453114	-116.588727	-0.352283	-126.680631	-0.414227
2310.147851	-119.451424	0.205603	-71.086713	-0.378095	-122.605998	-0.027121	-128.350858	0.465437
2352.150539	-118.134528	0.343613	-68.636395	0.468217	-122.750388	0.236117	-127.013635	-0.039357
2394.153227	-116.260226	-0.242081	-64.843384	0.300161	-121.666020	0.252151	-122.718163	-0.381550
2436.155915	-125.323228	-0.217008	-66.991281	-0.375683	-118.663948	0.062569	-123.945881	0.119979
2478.158603	-127.949465	0.284287	-72.205996	-0.366711	-127.821318	-0.174891	-123.536698	-0.454209
2520.161292	-119.881207	0.113653	-74.488691	0.290517	-131.324774	0.277462	-126.670428	-0.370671
2562.163980	-132.168873	0.280103	-65.259631	-0.019762	-117.764562	0.344051	-117.999871	0.463790
2604.166668	-127.888698	-0.033719	-66.726362	0.249568	-117.749542	-0.341509	-131.894225	0.280803
2646.169356	-126.958789	0.023319	-64.515788	0.087458	-123.832620	-0.147342	-125.700926	0.344813
2688.172044	-124.431631	-0.255665	-66.505123	0.421731	-130.871673	0.098704	-125.388493	-0.282584
2730.174732	-127.542691	0.185998	-63.760621	0.278888	-127.690019	-0.241833	-130.980116	-0.210981
2772.177421	-121.611793	-0.010208	-72.412378	0.453904	-121.545361	-0.155401	-117.897966	-0.011290
2814.180109	-124.120382	-0.416220	-70.560011	-0.025413	-122.646372	0.067489	-130.534922	0.385193
2856.182797	-123.734267	0.149253	-65.308747	-0.331707	-123.628294	-0.306730	-116.987721	0.240707
2898.185485	-118.906605	-0.151060	-66.028674	-0.416047	-118.086079	-0.338788	-123.934005	0.456134
2940.188173	-120.633909	-0.334371	-62.134545	0.070741	-131.545088	0.326420	-126.383247	0.416394
2982.190862	-121.753850	0.083065	-66.521033	0.066107	-118.218035	-0.206206	-117.560269	-0.250498
3024.193550	-118.515236	0.335453	-66.771785	-0.298310	-124.041104	-0.493903	-131.917441	0.242250
3066.196238	-124.520462	-0.239874	-64.371430	0.267627	-119.910871	-0.202930	-119.563593	-0.272288
3108.198926	-126.940009	-0.179509	-71.115697	-0.185769	-119.982419	0.377305	-126.458173	0.063892
3150.201614	-121.393475	0.374663	-73.692586	-0.230856	-120.406460	-0.071552	-136.535209	-0.048749
3192.204303	-115.748359	-0.082849	-74.877192	-0.108967	-117.127503	0.207311	-130.674792	-0.102565
3234.206991	-126.788009	-0.458897	-77.389889	0.480796	-117.007612	-0.364244	-122.466190	-0.334042
3276.209679	-125.057289	-0.332377	-65.067643	0.444238	-124.120605	0.061055	-124.479379	0.148353
3318.212367	-131.308246	0.333071	-69.491434	0.337903	-117.863778	-0.085363	-133.784508	0.426683
3360.215055	-120.915582	-0.482756	-69.265981	0.075347	-115.259528	0.477616	-117.809968	0.397177
3402.217744	-126.842541	-0.287494	-71.896619	-0.313091	-120.869210	0.206720	-122.949475	-0.442328
3444.220432	-119.765643	-0.031976	-67.020592	-0.091518	-125.677119	0.463962	-134.389002	0.435759
3486.223120	-120.496730	0.134158	-78.809155	-0.276983	-125.510020	0.036711	-122.781987	0.094865
3528.225808	-118.412590	0.375641	-74.256727	0.413173	-133.502350	0.059799	-131.049057	0.009492
3570.228496	-125.012873	0.201245	-64.144410	-0.486313	-119.642413	-0.337014	-127.359852	-0.248727
3612.231185	-36.371356	-0.204793	-17.299368	0.390334	-109.440228	0.353721	-121.852239	0.157331
3654.233873	-125.260595	-0.443390	-69.186878	-0.219806	-124.837770	-0.246857	-119.536274	0.349540
3696.236561	-126.596844	-0.003362	-74.107240	0.146381	-132.481002	-0.303557	-117.764701	-0.261654
3738.239249	-125.959834	0.041882	-76.893330	0.010817	-123.313322	-0.259062	-130.084947	0.180120
3780.241937	-122.490315	-0.184816	-67.470122	0.335043	-117.625161	0.439325	-124.775195	-0.476903
3822.244625	-122.924377	0.222615	-73.400890	-0.097263	-123.933230	0.031414	-136.160753	0.210704
3864.247314	-121.948310	0.233288	-82.666249	0.117589	-121.767250	0.387262	-127.688749	0.258477
3906.250002	-119.937149	0.089430	-79.027359	-0.125811	-125.488794	0.230335	-121.233712	-0.084740
3948.252690	-123.224307	-0.199162	-67.687744	0.241590	-116.022773	-0.236924	-128.806594	-0.265298
3990.255378	-123.092672	-0.427063	-71.189471	-0.434164	-122.499647	0.367252	-119.624713	0.366065
4032.258066	-131.430468	0.067034	-63.895243	0.456159	-117.882128	-0.023226	-119.837785	-0.148270
4074.260755	-121.082266	0.171646	-67.976495	0.219897	-118.475304	0.352311	-119.532773	0.470472
4116.263443	-120.092065	-0.439521	-77.447345	0.261667	-118.376937	-0.046017	-136.107601	0.200977
4158.266131	-116.585439	-0.466929	-67.395827	-0.143862	-123.188778	-0.386134	-117.090215	-0.368249
4200.268819	-126.231469	-0.188625	-84.675350	-0.364960	-122.686218	0.055261	-125.096387	-0.210324
4242.271507	-121.825706	0.099923	-73.277764	-0.023663	-120.443156	0.180572	-122.691032	-0.086959
4284.274196	-122.652937	0.133388	-70.024057	0.224765	-124.476404	0.234121	-128.767385	-0.157219
4326.276884	-125.500549	-0.087283	-68.627958	0.173274	-121.741195	-0.299576	-123.160176	-0.138759
4368.279572	-129.377971	-0.436701	-71.979369	0.461837	-125.901499	0.432573	-137.707584	-0.113286
4410.282260	-128.181630	0.454076	-73.282513	0.492011	-125.185078	0.412825	-123.213191	-0.053308
4452.284948	-118.571450	-0.235383	-69.349993	-0.156801	-128.220850	-0.207945	-119.424437	-0.302928
4494.287637	-120.191413	-0.297336	-69.280535	0.282582	-122.333275	-0.445144	-131.487419	-0.121292
4536.290325	-121.987917	0.012861	-82.655419	0.034881	-118.743100	-0.242458	-119.966352	0.151891
4578.293013	-120.520471	-0.276803	-63.773881	0.058913	-122.103851	-0.193514	-135.386340	-0.274636
4620.295701	-121.826202	-0.162840	-74.793625	-0.105347	-125.904664	0.463014	-117.177907	0.138625
4662.298389	-125.484477	-0.118609	-77.182794	-0.208581	-121.651007	-0.420327	-121.409655	-0.287857
4704.301078	-126.887870	0.009700	-71.612250	-0.333719	-118.903996	0.099149	-143.350798	-0.104590
4746.303766	-131.081632	-0.133263	-86.314396	-0.149367	-121.804947	-0.297452	-120.903543	0.382982
4788.306454	-123.939736	-0.432665	-69.453864	-0.170916	-139.629841	0.421974	-120.454337	-0.485567
4830.309142	-119.098231	-0.412906	-78.003668	0.010171	-117.539411	-0.236437	-126.410729	-0.294413
4872.311830	-121.145433	0.138300	-75.341658	0.338858	-121.835889	0.046728	-139.404054	-0.408924
4914.314518	-118.800281	-0.278206	-71.068267	0.436185	-117.015209	-0.280446	-130.257829	-0.165149
4956.317207	-133.193006	-0.467743	-71.461211	-0.421837	-132.452821	0.399729	-133.264536	-0.057991
4998.319895	-131.181724	0.026691	-72.699080	-0.489739	-121.539429	-0.374915	-119.786906	-0.459877
5040.322583	-115.175074	0.180510	-69.571303	0.388952	-122.423537	-0.480060	-123.979122	0.073556
5082.325271	-122.463349	-0.111694	-79.217338	0.220599	-116.627553	-0.258229	-124.658596	0.310487
5124.327959	-122.430777	-0.364404	-73.364663	-0.264612	-130.886160	-0.311277	-117.943944	0.483767
5166.330648	-126.688568	-0.088147	-73.154371	0.354222	-121.199847	0.031773	-121.377492	0.480350
5208.333336	-131.055302	-0.256732	-70.779409	0.237617	-116.944035	0.197409	-124.908895	0.093864
5250.336024	-127.535838	-0.262739	-69.956266	0.486132	-116.942163	-0.288395	-121.570161	0.113612
5292.338712	-124.405550	-0.461987	-73.922411	-0.322622	-124.343615	-0.092772	-124.385456	-0.044083
5334.341400	-122.842021	-0.240414	-72.873864	-0.170490	-120.261132	0.046537	-118.217588	0.225097
5376.344089	-116.778998	0.008168	-74.557366	0.284045	-125.011054	-0.400540	-126.323158	-0.342795
5418.346777	-116.770956	0.216780	-66.106451	-0.170769	-122.135013	0.172164	-129.904652	-0.040470
