% f302.txt
% Date Tue, Jul 27, 2021 6:28 PM
% None
% Response spectrum
% Stim level (V pk) 0.000, 0 dB filter gain, 120.0 dB attenuation
% Stim RMS (V) 0.000
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
10.000000	-108.400959	-0.077845	-122.153394	-0.437917	-97.798726	0.339264	-133.378575	0.482632
20.000000	-117.601030	-0.462961	-131.136498	-0.332564	-87.902660	0.177392	-124.579838	-0.310494
30.000000	-113.675068	-0.059519	-123.428525	-0.296318	-83.248284	-0.203563	-113.432681	0.106916
40.000000	-121.448630	0.237679	-134.543345	-0.290784	-91.386182	-0.401286	-116.486139	-0.265753
50.000000	-121.266347	0.374125	-116.598560	-0.020780	-75.939349	-0.469653	-122.163605	0.102078
60.000000	-101.526074	-0.399441	-89.961013	-0.177457	-53.600488	0.067931	-97.009778	0.351849
70.000000	-130.139800	0.055195	-119.259637	-0.083824	-79.063997	-0.191311	-128.298503	0.217903
80.000000	-135.547582	-0.490697	-121.475023	-0.055728	-77.577449	0.408234	-126.884184	-0.008414
90.000000	-130.594657	-0.000840	-130.065777	-0.297093	-84.229399	0.382450	-120.835192	-0.220486
100.000000	-120.079263	0.015900	-117.830165	0.229448	-97.226955	-0.215094	-125.726848	0.313999
110.000000	-129.744580	0.126122	-129.575305	-0.239612	-78.085577	0.412319	-122.777319	0.292442
120.000000	-121.644880	0.313831	-114.835913	0.310894	-83.188596	-0.123561	-119.030499	-0.123128
130.000000	-133.415937	-0.096903	-124.780386	-0.278353	-78.831418	-0.092520	-123.251806	-0.431922
140.000000	-123.062862	0.379153	-137.677034	0.262050	-79.898613	-0.177262	-124.567694	-0.365771
150.000000	-139.784245	-0.367672	-131.873296	-0.048845	-82.252588	-0.066280	-122.247845	-0.186107
160.000000	-124.293379	0.212152	-128.492552	0.128244	-71.980584	-0.178549	-128.003324	-0.101673
170.000000	-124.399712	-0.434156	-123.744308	-0.282973	-77.282715	0.132091	-135.268835	0.340019
180.000000	-102.206436	0.021120	-92.004729	-0.032648	-50.714119	-0.159918	-97.380173	0.435902
190.000000	-120.355226	-0.017870	-120.704433	0.013994	-77.215336	-0.163505	-133.085855	0.060312
200.000000	-132.462635	0.201577	-124.349183	-0.357237	-72.515213	-0.038364	-133.424159	0.008663
210.000000	-121.391216	0.275894	-129.570970	-0.215240	-81.937662	-0.411830	-141.824448	0.466571
220.000000	-122.565046	-0.153601	-133.526438	-0.010428	-75.518232	0.450734	-121.835328	-0.096668
230.000000	-128.696419	-0.483977	-133.679541	-0.133030	-71.361164	-0.470450	-136.249134	-0.279038
240.000000	-129.857939	0.179860	-121.017106	-0.196952	-78.684823	-0.409533	-122.934615	-0.218532
250.000000	-125.839365	0.127020	-125.652750	0.015520	-87.851380	-0.025434	-132.968651	0.452799
260.000000	-132.923173	-0.326455	-126.083662	0.427590	-74.519877	0.237464	-127.572914	0.183448
270.000000	-123.760999	0.047637	-130.989883	-0.178765	-82.315989	0.138619	-130.847437	-0.453292
280.000000	-133.357349	-0.156408	-131.905368	-0.093431	-70.769985	0.212172	-126.808308	0.165872
290.000000	-125.217031	-0.120220	-125.958342	0.101785	-72.016974	-0.103523	-124.616944	0.045016
300.000000	-111.352076	-0.196078	-110.753797	0.066627	-56.977131	-0.033616	-110.224882	-0.347858
310.000000	-130.618248	-0.210338	-125.465691	0.018514	-73.674330	-0.163709	-124.433506	-0.450382
320.000000	-132.152147	-0.037013	-127.549795	-0.386459	-73.190734	-0.241264	-121.372389	0.251867
330.000000	-138.356468	-0.127145	-137.098165	-0.017927	-74.332403	-0.255199	-122.934297	0.070752
340.000000	-140.025727	-0.221984	-132.170644	0.148098	-80.452806	-0.263403	-124.563971	-0.399440
350.000000	-127.310798	0.150011	-128.736861	-0.397577	-74.232711	0.211559	-125.773748	0.109550
360.000000	-120.134500	-0.456208	-125.255028	-0.282145	-79.232620	0.314420	-127.353511	-0.388341
370.000000	-135.406831	-0.014382	-128.519234	0.348564	-77.489847	0.419542	-130.248322	0.067115
380.000000	-138.342572	-0.068133	-139.631801	-0.402148	-81.751349	0.040884	-124.537106	0.055069
390.000000	-127.640751	0.052152	-134.656347	-0.364756	-74.698658	0.090202	-131.044449	0.113770
400.000000	-132.187308	0.144844	-126.149408	-0.194464	-75.759054	-0.474682	-126.034543	-0.282989
410.000000	-127.724628	-0.462447	-135.712224	0.291645	-78.655125	0.096717	-133.547241	0.287598
420.000000	-120.527073	0.122689	-124.156011	0.093690	-81.586682	-0.328079	-127.678009	0.282937
430.000000	-127.826729	-0.259779	-124.485003	-0.208889	-77.080689	0.113280	-128.099154	-0.033117
440.000000	-134.035007	-0.046580	-133.224687	0.106398	-71.028685	-0.312589	-130.517466	-0.036726
450.000000	-125.703042	0.177077	-130.647166	0.000352	-72.072288	0.316464	-123.976243	0.213146
460.000000	-132.579137	-0.057845	-135.933552	0.040622	-73.705583	-0.073588	-133.968030	-0.140805
470.000000	-137.822554	-0.093915	-126.072546	-0.080949	-77.626833	-0.144249	-130.518754	-0.314985
480.000000	-126.471801	0.244119	-130.970033	-0.356883	-74.760630	-0.173532	-126.752557	0.250202
490.000000	-123.069713	-0.029478	-127.686384	0.046068	-79.058717	0.196507	-134.162580	0.039212
500.000000	-124.000469	0.165974	-128.718157	0.168453	-83.975696	0.036220	-124.928473	0.316972
510.000000	-137.607786	-0.196242	-121.790576	-0.436500	-73.274128	0.227229	-133.959434	0.228940
520.000000	-137.739043	0.308700	-129.702251	0.251976	-75.515580	-0.140734	-132.945441	-0.324922
530.000000	-132.403375	-0.289564	-141.200749	0.425258	-72.602666	0.359864	-129.341388	-0.279591
540.000000	-124.367584	-0.456307	-116.857614	-0.299140	-77.976295	0.102273	-124.903690	-0.269314
550.000000	-131.497869	0.350212	-132.715552	0.295752	-79.712245	0.238581	-136.830595	-0.167826
560.000000	-135.888088	0.347900	-139.824118	-0.266901	-77.481197	0.198688	-123.792293	-0.173081
570.000000	-123.273387	-0.151142	-131.048469	0.276094	-75.394708	-0.383214	-142.797871	0.039611
580.000000	-124.371962	0.401417	-119.874422	0.022660	-87.357188	0.142809	-129.982897	0.234338
590.000000	-125.927220	-0.328172	-133.963172	-0.439936	-89.192674	-0.499717	-132.768933	-0.028633
600.000000	-143.257787	-0.331909	-132.644849	0.228378	-74.555303	0.096119	-129.336366	0.155308
