% f36.txt
% Date Tue, Jul 27, 2021 4:06 PM
% Ascending Sine seq
% Response spectrum
% Stim level (V pk) 0.500, 0 dB filter gain, 120.0 dB attenuation
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
200.000000	-26.347471	-0.255643	-52.045611	-0.166278	-36.595285	0.344207	-119.286203	0.217184
250.000000	-26.576508	-0.248113	-56.556593	-0.212770	-36.450206	-0.475021	-117.216604	-0.307189
300.000000	-26.635486	-0.244790	-59.454366	-0.294758	-37.673720	0.490156	-110.229991	-0.461698
350.000000	-26.642370	-0.241697	-60.961229	-0.257134	-35.971515	0.471929	-116.532793	0.311109
400.000000	-26.578928	-0.239621	-61.030259	-0.224672	-35.050366	0.443240	-113.480578	0.454233
500.000000	-26.492478	-0.236376	-60.145683	-0.272479	-35.032827	0.420498	-121.451798	-0.351478
550.000000	-26.416485	-0.235448	-61.316385	-0.286558	-33.584825	0.432586	-114.370458	0.487177
650.000000	-26.335634	-0.232809	-62.324820	-0.279309	-33.381818	0.415191	-120.533601	-0.438433
800.000000	-26.186095	-0.230212	-60.640475	-0.279127	-32.531040	0.407350	-111.927611	0.444469
950.000000	-26.008936	-0.227531	-69.577984	-0.197711	-32.549052	0.400514	-112.033785	0.487794
1150.000001	-25.849917	-0.225721	-60.223283	-0.313579	-31.250607	0.394541	-113.514707	-0.460999
1350.000001	-25.672482	-0.224125	-58.401343	-0.340202	-30.643132	0.390966	-111.306695	0.496923
1600.000001	-25.456713	-0.222761	-50.445001	-0.488094	-29.908648	0.376621	-113.174779	0.419061
1900.000001	-25.255728	-0.221563	-72.767831	-0.377490	-29.083571	0.385713	-106.335994	0.407772
2250.000001	-25.034636	-0.220808	-72.926825	-0.264720	-28.179290	0.383042	-109.265384	0.464102
2700.000001	-24.790908	-0.220341	-68.149923	-0.318801	-27.265939	0.379860	-106.533868	0.447466
3200.000001	-24.562812	-0.220258	-65.400409	-0.377829	-26.321304	0.376051	-104.810010	0.395776
3800.000002	-24.333426	-0.220500	-62.764652	0.498194	-25.368064	0.371137	-103.969568	0.387298
4550.000002	-24.094358	-0.221033	-70.129164	-0.373984	-24.215665	0.363846	-102.985359	0.344806
5400.000002	-23.868466	-0.221913	-49.133493	0.364369	-23.259942	0.355125	-102.176478	0.342209
6400.000003	-23.671219	-0.222786	-50.392203	-0.006155	-22.001317	0.344091	-101.900387	0.324160
7600.000004	-23.444939	-0.223927	-52.242399	-0.038988	-20.978467	0.327698	-101.003402	0.315098
9050.000004	-23.213403	-0.225433	-57.500382	-0.064449	-19.972896	0.307718	-100.612794	0.288859
10750.000005	-22.978787	-0.227292	-59.226217	-0.090890	-19.021362	0.283719	-100.464621	0.244991
12800.000006	-22.732050	-0.229681	-57.787073	-0.069197	-18.195042	0.254484	-99.660486	0.225267
