% f393.txt
% Date Tue, Jul 27, 2021 6:59 PM
% Log chirp
% Transfer function
% Stim level (V pk) 0.500, 0 dB filter gain, 120.0 dB attenuation
% Stim RMS (V) 0.411
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
1.000000	-21.889750	0.000191	-98.409809	-0.408379	-34.792113	0.059427	-98.551362	-0.380022
2.000000	-21.891110	0.000284	-101.923828	0.123942	-31.859155	-0.470312	-102.764313	0.359124
3.000000	-21.888964	0.000294	-111.932388	0.410549	-30.175505	0.045166	-100.367714	-0.357575
4.000000	-21.885406	0.000502	-100.597635	-0.018562	-28.771160	-0.378527	-93.148121	-0.489228
5.000000	-21.885920	0.000602	-99.973953	-0.276753	-27.964742	0.195283	-103.460249	0.347444
6.000000	-21.885113	0.000759	-95.127471	0.268271	-27.378352	-0.173199	-95.469187	-0.205894
7.000000	-21.883168	0.000942	-96.616016	0.441040	-25.937729	0.439515	-97.505921	0.304143
8.000000	-21.888651	0.001147	-98.137420	0.406663	-24.063909	0.066672	-108.662785	0.126137
9.000000	-21.890679	0.001300	-93.506740	0.318144	-25.651140	-0.282510	-100.901870	0.001750
10.000000	-21.894909	0.001355	-97.267318	0.218837	-24.558712	0.378266	-93.517298	0.451174
11.000000	-21.894537	0.001380	-102.289526	-0.367049	-25.613910	0.056439	-100.972612	0.016693
12.000000	-21.893768	0.001464	-98.616013	-0.350378	-25.673743	-0.241417	-99.934686	0.403899
13.000000	-21.887901	0.001585	-99.103171	-0.404958	-25.201311	0.456415	-98.594519	-0.104891
14.000000	-21.886206	0.001690	-95.540585	-0.439283	-24.184667	0.151486	-94.678661	0.196569
15.000000	-21.883832	0.001802	-104.538232	-0.207953	-23.812264	-0.127424	-103.453591	0.239458
16.000000	-21.877797	0.001948	-93.314124	0.421942	-23.654340	-0.410262	-93.792132	-0.058288
17.000000	-21.876495	0.002171	-102.060422	-0.412391	-24.112281	0.301784	-95.645252	0.320054
