% f337.txt
% Date Thu, Jul 29, 2021 9:12 PM
% Ascending Sine seq
% Response spectrum
% Stim level (V pk) 0.500, 0 dB filter gain, 120.0 dB attenuation
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
200.000000	-25.779997	-0.257581	-50.996414	-0.195122	-15.789875	0.457317	0.053584	0.050696
220.000000	-25.982959	-0.251405	-53.935750	-0.225518	-19.323516	0.480048	-3.724910	0.015221
240.000000	-25.979953	-0.247144	-56.305634	-0.231054	-20.495120	-0.479159	-7.346116	0.000924
260.000000	-25.898647	-0.249372	-54.703245	-0.209827	-18.009514	0.457188	-5.578005	0.034962
280.000000	-26.038107	-0.245602	-55.897325	-0.251119	-22.315569	0.484201	-9.971066	0.002613
300.000000	-26.008747	-0.243934	-57.204957	-0.292784	-21.559396	0.499261	-9.505204	0.024139
320.000000	-26.024864	-0.242647	-59.826260	-0.267368	-23.330586	0.481422	-10.222558	-0.012994
340.000000	-26.012321	-0.241194	-60.290708	-0.261482	-24.658580	0.491170	-11.695492	-0.024803
380.000000	-25.962104	-0.238539	-63.073064	-0.258292	-25.580148	-0.466059	-15.569149	-0.034764
400.000000	-25.958664	-0.239614	-56.385074	-0.260604	-24.528661	0.413218	-11.903602	-0.026476
420.000000	-25.934103	-0.237739	-59.993749	-0.263250	-27.020894	0.467693	-14.778833	-0.040773
460.000000	-25.892358	-0.236439	-58.756927	-0.265751	-27.603084	0.456401	-15.712461	-0.043251
500.000000	-25.848473	-0.235093	-59.317359	-0.269346	-28.546366	0.448878	-16.642010	-0.048714
520.000000	-25.828207	-0.234542	-59.925711	-0.268627	-28.958816	0.441177	-16.272964	-0.052393
560.000000	-25.779667	-0.233249	-59.678390	-0.273574	-30.027360	0.456900	-18.302364	-0.057211
600.000000	-25.736602	-0.232220	-61.328320	-0.272593	-30.767257	0.445781	-18.419196	-0.062688
640.000000	-25.691188	-0.231348	-60.866359	-0.269091	-29.377118	0.417709	-18.857694	-0.066050
700.000000	-25.620673	-0.230010	-64.169724	-0.262940	-30.460339	0.416434	-19.625947	-0.057284
740.000000	-25.566478	-0.229508	-58.543268	-0.213748	-25.984482	0.404531	-19.097535	-0.033633
800.000000	-25.513669	-0.227980	-59.501628	-0.278700	-33.340547	0.404845	-21.713985	-0.077261
860.000000	-25.450990	-0.226935	-61.064904	-0.280020	-34.462147	0.371447	-22.256367	-0.087328
920.000001	-25.381077	-0.225915	-68.778733	-0.203829	-34.861059	0.364512	-23.734023	-0.084316
980.000001	-25.324953	-0.225142	-57.800007	-0.295394	-33.790309	0.305055	-22.916958	-0.099671
1060.000001	-25.246937	-0.224143	-60.365577	-0.294442	-32.465123	0.246769	-23.117912	-0.108654
1140.000001	-25.161609	-0.223124	-59.991413	-0.297639	-38.001736	0.234862	-24.797337	-0.116454
1220.000001	-25.083983	-0.222313	-60.047105	-0.300852	-35.794795	0.194637	-24.960840	-0.123646
1300.000001	-24.994501	-0.221437	-58.841676	-0.316210	-36.801898	-0.265108	-28.878762	-0.119331
1400.000001	-24.908241	-0.220748	-57.401308	-0.355343	-38.626580	0.429254	-27.209063	-0.120784
1500.000001	-24.828444	-0.220160	-64.201829	-0.361641	-30.454401	0.225686	-25.500252	-0.143518
1600.000001	-24.737829	-0.219398	-58.439801	-0.339182	-39.456212	0.194110	-27.752415	-0.155515
1720.000001	-24.633371	-0.218912	-49.852690	-0.480526	-34.363954	0.340459	-26.319373	-0.210080
1840.000001	-24.553765	-0.218359	-64.858144	0.263718	-30.284467	0.207580	-30.183572	-0.157337
1960.000001	-24.464784	-0.217846	-82.929838	-0.132057	-30.189465	0.168222	-29.058967	-0.169676
2120.000001	-24.351115	-0.217329	-73.251748	-0.155478	-29.798408	0.138692	-29.271459	-0.195062
2260.000001	-24.257530	-0.216989	-64.755027	-0.250499	-32.035178	0.119182	-31.198236	-0.210040
2420.000001	-24.157813	-0.216686	-63.845642	-0.275474	-30.247253	0.118425	-30.944974	-0.222455
2600.000001	-24.052912	-0.216423	-63.818815	-0.289950	-30.215639	0.103631	-31.757470	-0.236741
2780.000002	-23.954303	-0.216244	-63.570162	-0.294212	-29.643416	0.099445	-32.233068	-0.249714
2980.000002	-23.852158	-0.216116	-62.775076	-0.313350	-29.057611	0.097374	-32.593771	-0.263099
3200.000002	-23.747274	-0.216050	-61.727421	-0.328376	-27.859090	0.106225	-32.525952	-0.275589
3420.000002	-23.650799	-0.216027	-61.603219	-0.344286	-26.884429	0.095171	-32.809327	-0.297620
3680.000002	-23.544200	-0.216067	-59.978958	-0.384553	-25.611676	0.090832	-32.636472	-0.323943
3940.000002	-23.446099	-0.216159	-58.425176	-0.441211	-24.487278	0.098848	-32.402798	-0.351112
4220.000002	-23.349617	-0.216300	-67.696398	0.458162	-22.268816	0.111513	-33.425742	-0.350321
4520.000003	-23.249799	-0.216476	-62.257878	-0.392617	-18.778024	0.088977	-30.629857	-0.393067
4860.000003	-23.152261	-0.216684	-54.135223	-0.422288	-18.642574	0.084121	-31.796909	-0.420029
5200.000003	-23.054626	-0.216946	-49.362300	0.490956	-13.493102	0.081841	-27.983742	-0.454881
5580.000003	-22.948275	-0.217463	-44.801887	0.377047	-5.920885	0.031979	-22.429693	0.469968
5980.000003	-22.904754	-0.217749	-43.289687	0.068089	-6.941427	-0.262514	-24.719301	0.141253
6400.000004	-22.805695	-0.217871	-49.384531	0.002470	-11.964904	-0.285062	-31.218495	0.085588
6860.000004	-22.710454	-0.218164	-52.326020	-0.030958	-17.861901	-0.316616	-39.264887	0.003452
7360.000004	-22.620396	-0.218547	-52.155032	-0.054245	-22.076814	-0.265077	-47.087651	0.028628
7880.000005	-22.533991	-0.218953	-46.495783	-0.129898	-14.130177	-0.091377	-40.916525	0.202228
8440.000005	-22.450572	-0.219344	-61.339582	-0.245077	-15.720457	-0.332083	-43.348592	-0.091190
9060.000005	-22.363832	-0.219801	-59.488481	-0.139986	-19.609425	-0.319118	-49.301353	-0.137837
9700.000006	-22.282500	-0.220267	-57.707489	-0.226753	-10.698603	-0.301890	-58.630030	-0.124280
10400.000006	-22.199730	-0.220765	-60.233999	-0.231314	-15.324082	0.443296	-49.130164	-0.106941
11140.000006	-22.118962	-0.221281	-61.308130	-0.172971	-22.444898	-0.392157	-58.621378	-0.170885
11940.000007	-22.038600	-0.221825	-58.715899	-0.164076	-19.095911	-0.424748	-55.333027	0.037478
12800.000007	-21.959950	-0.222410	-57.481595	-0.314209	-16.134849	0.297213	-38.586046	-0.276545
13720.000008	-21.880586	-0.223011	-64.992610	-0.236356	-32.466899	0.097279	-45.039471	-0.441408
14700.000008	-21.802222	-0.223654	-64.476936	-0.212632	-36.202888	-0.190744	-48.882845	0.464002
15760.000009	-21.724399	-0.224346	-63.446366	-0.186162	-35.173759	-0.308125	-47.008565	0.410857
16880.000010	-21.646523	-0.225078	-64.461891	-0.180570	-33.244783	-0.354496	-42.197210	0.275143
