% f202.txt
% Date Thu, Jul 29, 2021 8:43 PM
% Ascending Sine seq
% Response spectrum
% Stim level (V pk) 0.500, 0 dB filter gain, 120.0 dB attenuation
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
200.000000	-25.613720	-0.257193	-50.865392	-0.195570	-11.516598	0.328933	0.207563	0.049698
220.000000	-25.783789	-0.251006	-53.832067	-0.225885	-14.801623	0.298363	-3.652446	0.013645
240.000000	-25.776774	-0.246882	-56.124529	-0.230525	-17.818419	0.298504	-7.324049	0.000579
260.000000	-25.747157	-0.248907	-54.655527	-0.212904	-14.385570	0.311643	-5.675120	0.029969
280.000000	-26.017797	-0.245317	-55.907975	-0.252040	-17.671711	0.271357	-10.069579	0.007197
300.000000	-26.038617	-0.243685	-57.399293	-0.287124	-18.949778	0.291001	-9.476294	0.022730
320.000000	-26.036070	-0.242392	-59.821734	-0.264863	-18.896539	0.266032	-10.292738	-0.012349
340.000000	-26.020487	-0.240952	-60.310133	-0.260251	-19.995621	0.259808	-11.771779	-0.025076
380.000000	-25.972489	-0.238319	-63.157057	-0.256182	-22.910757	0.257046	-15.664191	-0.035378
400.000000	-25.968330	-0.239335	-56.488060	-0.259710	-17.713231	0.258252	-12.025897	-0.026009
420.000000	-25.931008	-0.237497	-60.010739	-0.261793	-20.399989	0.248297	-14.850208	-0.040502
460.000000	-25.904892	-0.236180	-58.787812	-0.264539	-20.386987	0.245755	-15.801566	-0.042929
500.000000	-25.862546	-0.234822	-59.369914	-0.267828	-20.681061	0.240123	-16.753761	-0.048402
520.000000	-25.855869	-0.234261	-59.985363	-0.266535	-20.799892	0.238230	-16.383908	-0.052184
560.000000	-25.798438	-0.232960	-59.717518	-0.271712	-21.600976	0.234730	-18.622211	-0.057503
600.000001	-25.766923	-0.231909	-61.373280	-0.269850	-21.743180	0.230417	-18.555208	-0.062312
640.000001	-25.736261	-0.231006	-60.911970	-0.266856	-20.858209	0.243408	-19.081366	-0.065871
700.000001	-25.680231	-0.229631	-64.183398	-0.259050	-21.460289	0.239150	-19.731472	-0.056765
740.000001	-25.632080	-0.229089	-58.606076	-0.212800	-19.497725	0.280153	-19.261342	-0.033905
800.000001	-25.590871	-0.227529	-59.558112	-0.276145	-22.116181	0.224062	-21.841982	-0.076917
860.000001	-25.544863	-0.226431	-61.173347	-0.276333	-21.902529	0.214562	-22.397019	-0.086948
920.000001	-25.490061	-0.225359	-68.873630	-0.196970	-21.865862	0.213281	-23.936285	-0.084379
980.000001	-25.469366	-0.224521	-57.989391	-0.292269	-21.000496	0.205813	-23.131151	-0.098781
1060.000001	-25.417743	-0.223443	-60.580308	-0.290856	-21.400626	0.179460	-23.322878	-0.107545
1140.000001	-25.343336	-0.222355	-60.208877	-0.293513	-22.168344	0.180975	-25.003110	-0.116053
1220.000001	-25.278686	-0.221474	-60.276157	-0.296269	-22.377613	0.184373	-25.213218	-0.122922
1300.000001	-25.194227	-0.220546	-59.072298	-0.312072	-29.936660	0.189771	-29.163954	-0.118276
1400.000001	-25.117241	-0.219776	-57.657755	-0.351775	-24.384573	0.224378	-27.477836	-0.119272
