% f141.txt
% Date Thu, Jul 29, 2021 8:18 PM
% Ascending Sine seq
% Response spectrum
% Stim level (V pk) 0.500, 0 dB filter gain, 120.0 dB attenuation
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
200.000000	-26.371031	-0.259242	-49.789995	-0.167638	-93.260822	0.029565	1.538270	0.075719
220.000000	-26.756037	-0.252528	-53.626985	-0.216133	-94.429037	0.134734	-3.104236	0.025331
240.000000	-26.776411	-0.247674	-56.806332	-0.227176	-92.920772	0.115999	-7.260425	0.009644
260.000000	-26.681576	-0.248653	-55.555965	-0.200607	-90.492335	0.120762	-6.919659	0.053696
280.000000	-26.840546	-0.246578	-56.393877	-0.245937	-90.172402	0.108182	-8.895998	-0.006956
300.000000	-26.826156	-0.244558	-56.868795	-0.268171	-95.045554	0.132684	-11.474678	0.024215
320.000000	-26.826163	-0.243482	-59.622389	-0.299342	-88.444076	0.116959	-9.790685	0.006398
340.000000	-26.833978	-0.242149	-61.383883	-0.278401	-87.429450	0.114653	-11.405633	-0.018525
380.000000	-26.794974	-0.239531	-64.589887	-0.277665	-85.944373	0.102406	-15.718696	-0.032381
400.000000	-26.794334	-0.240827	-56.409669	-0.262305	-84.776386	0.097040	-11.517488	-0.023715
420.000000	-26.773490	-0.238838	-60.919769	-0.279141	-84.936948	0.099672	-14.817974	-0.038906
460.000000	-26.736751	-0.237584	-59.500610	-0.276925	-83.509240	0.089897	-15.878978	-0.043403
500.000000	-26.697536	-0.236301	-60.234418	-0.281844	-82.401497	0.081790	-16.882722	-0.048283
520.000000	-26.686531	-0.235790	-60.979361	-0.282175	-82.240716	0.082419	-16.271254	-0.051518
560.000000	-26.643077	-0.234564	-60.604328	-0.287318	-81.120974	0.073144	-18.494099	-0.056309
600.000001	-26.607576	-0.233585	-62.569332	-0.292076	-80.326163	0.073875	-18.440178	-0.062700
640.000001	-26.572958	-0.232761	-62.068537	-0.287948	-79.570027	0.066490	-18.955411	-0.067764
700.000001	-26.519009	-0.231477	-66.130210	-0.300669	-78.543140	0.058025	-19.459681	-0.060779
740.000001	-26.464165	-0.230934	-60.224944	-0.214955	-77.908880	0.053553	-19.855692	-0.018933
800.000001	-26.433486	-0.229515	-60.774479	-0.306977	-77.018862	0.048479	-21.870919	-0.076169
860.000001	-26.384225	-0.228494	-62.113222	-0.303897	-76.271420	0.044834	-22.483247	-0.085206
