% f270.txt
% Date Thu, Jul 29, 2021 9:01 PM
% None
% Response spectrum
% Stim level (V pk) 0.000, 0 dB filter gain, 120.0 dB attenuation
% Stim RMS (V) 0.471
% Freq [Hz]	Ch0 Mag [dB]	Ch0 Phase [cyc]	Ch1 Mag [dB]	Ch1 Phase [cyc]	Ch2 Mag [dB]	Ch2 Phase [cyc]	Ch3 Mag [dB]	Ch3 Phase [cyc]
%%end
10.000000	-116.398236	0.088431	-115.592109	-0.374675	-74.747299	-0.472212	-80.494694	0.361625
20.000000	-119.340018	-0.019530	-120.072343	-0.390356	-87.408447	0.305511	-66.296836	-0.255825
30.000000	-117.484914	0.280714	-116.767794	0.061705	-84.618692	0.370746	-67.637504	0.386106
40.000000	-125.608207	-0.449782	-126.086509	-0.429584	-83.597026	0.060808	-86.719214	0.261558
50.000000	-125.711825	-0.110731	-116.998453	-0.085169	-84.080858	-0.158221	-84.934466	0.189645
60.000000	-96.724685	0.062649	-82.124913	0.101086	-31.489294	0.332285	-77.595149	-0.116654
70.000000	-128.695778	-0.049611	-120.794947	-0.389698	-89.783628	0.368431	-96.484559	-0.477372
80.000000	-131.292142	-0.319862	-125.542063	-0.177254	-95.264611	0.317168	-89.276490	-0.016329
90.000000	-126.440127	0.202794	-125.400980	0.146733	-94.541968	0.309317	-89.675878	0.438356
100.000000	-127.562029	-0.313173	-121.469630	0.368009	-91.708714	0.366309	-106.206695	0.073890
110.000000	-120.226721	0.258553	-131.156650	0.300417	-91.781045	-0.048488	-88.446427	0.025190
120.000000	-128.219671	0.085839	-115.412268	0.169691	-80.082730	0.174897	-64.850895	0.424724
130.000000	-121.647831	0.082268	-119.097365	-0.191681	-93.288595	0.212212	-101.048854	0.092525
140.000000	-120.069846	-0.095028	-135.357356	0.323629	-92.614493	0.290212	-93.118930	0.432962
150.000000	-131.195740	0.241213	-124.063354	-0.165660	-112.930856	0.301159	-85.098112	-0.056926
160.000000	-119.901144	-0.100284	-144.529892	0.245498	-94.097631	-0.059740	-90.193605	0.248746
170.000000	-134.352216	-0.478319	-125.542602	0.391288	-93.464084	0.094580	-96.589539	-0.163478
180.000000	-89.957026	-0.291177	-82.260416	-0.295227	-47.009807	-0.399321	-60.938447	0.094505
190.000000	-148.658178	-0.451158	-122.030800	-0.293092	-97.410251	-0.409627	-90.304055	-0.444788
200.000000	-128.310222	-0.277798	-125.633366	-0.488512	-98.865285	0.413666	-91.766068	0.179140
210.000000	-138.553808	0.486134	-123.195550	0.497268	-98.580436	0.255587	-83.995004	0.047003
220.000000	-124.732094	-0.145476	-127.558732	-0.215951	-96.841315	-0.467045	-86.878783	-0.219225
230.000000	-122.086505	0.341265	-124.347859	-0.433098	-102.569551	0.440330	-88.626842	0.146300
240.000000	-121.414289	0.319197	-112.082292	0.368274	-83.311307	0.260968	-74.427966	-0.467675
250.000000	-122.320504	0.266926	-111.124489	0.370538	-100.358049	0.373813	-90.251987	-0.111234
260.000000	-123.675174	-0.179145	-134.599563	0.175338	-107.587459	0.235637	-91.306718	0.368832
270.000000	-126.629166	-0.329868	-125.217180	0.168928	-104.066218	-0.416695	-83.969000	0.263351
280.000000	-135.949428	-0.405257	-133.506252	-0.319390	-110.625336	0.424320	-89.420770	0.362572
290.000000	-125.143604	-0.037379	-126.630747	-0.168559	-103.191828	-0.404707	-84.290614	0.495958
300.000000	-111.216794	0.307453	-98.931337	0.302920	-65.796643	0.209316	-89.564677	-0.347369
310.000000	-132.111454	-0.055300	-124.336524	0.421709	-100.108519	-0.332551	-88.702754	-0.489723
320.000000	-128.048153	0.482994	-136.009277	0.471385	-103.441857	-0.220848	-90.619981	0.188820
330.000000	-128.928407	-0.167110	-129.656287	-0.448034	-111.131445	-0.007311	-85.143705	0.308478
340.000000	-133.554385	-0.479494	-129.342527	-0.443431	-100.469341	-0.489526	-96.605451	-0.089093
350.000000	-128.735370	0.462672	-137.861536	0.325642	-104.547067	0.161515	-85.375736	-0.392433
360.000000	-136.475103	0.237855	-133.494964	-0.349939	-100.757269	0.207192	-110.362717	-0.334132
