% Model,cochlear_microphone PVDF piezo.mph
% Version,COMSOL 5.5.0.306
% Date,"Jul 30 2020, 23:20"
% Table,Charge Frequency Response - charge top plane
% freq (Hz),"Electric displacement field, z component (C)",abs(es.Dz) (C)
200.00000000000003,3.74923616080038E-17,3.74923616080038E-17
204.65859845615074,3.749227531311912E-17,3.749227531311912E-17
209.42570961017995,3.7492184934081194E-17,3.7492184934081194E-17
214.30386104752122,3.7492090316532466E-17,3.7492090316532466E-17
219.29563922863704,3.74919912359351E-17,3.74919912359351E-17
224.40369086039263,3.749188748764836E-17,3.749188748764836E-17
229.6307242993766,3.749177883355168E-17,3.749177883355168E-17
234.97951098790585,3.7491665055627786E-17,3.7491665055627786E-17
240.45288692348265,3.74915459300975E-17,3.74915459300975E-17
246.05375416247625,3.749142119775529E-17,3.749142119775529E-17
251.78508235883353,3.749129056172148E-17,3.749129056172148E-17
257.64991033862674,3.7491153768932546E-17,3.7491153768932546E-17
263.6513477112815,3.7491010550806797E-17,3.7491010550806797E-17
269.7925765183307,3.7490860558719733E-17,3.7490860558719733E-17
276.0768529205771,3.7490703512547324E-17,3.7490703512547324E-17
282.50750892455085,3.749053906985418E-17,3.749053906985418E-17
289.08795414918563,3.749036685526965E-17,3.749036685526965E-17
295.82167763364146,3.749018654081023E-17,3.749018654081023E-17
302.7122496872418,3.7489997713858836E-17,3.7489997713858836E-17
309.7633237824963,3.748979998795791E-17,3.748979998795791E-17
316.97863849222284,3.748959293560407E-17,3.748959293560407E-17
324.362019471786,3.7489376141806385E-17,3.7489376141806385E-17
331.91738148751233,3.748914911450663E-17,3.748914911450663E-17
339.6487304923489,3.748891138637638E-17,3.748891138637638E-17
347.5601657498753,3.748866246350883E-17,3.748866246350883E-17
355.6558820077846,3.7488401783569854E-17,3.7488401783569854E-17
363.94017172199653,3.7488128832568226E-17,3.7488128832568226E-17
372.41742733257354,3.748784300450333E-17,3.748784300450333E-17
381.09214359264973,3.7487543709266876E-17,3.7487543709266876E-17
389.96891995160917,3.748723030534289E-17,3.748723030534289E-17
399.0524629937758,3.7486902120751074E-17,3.7486902120751074E-17
408.34758893390597,3.748655847172895E-17,3.748655847172895E-17
417.8592261708078,3.748619861255307E-17,3.748619861255307E-17
427.59241790044655,3.748582178982953E-17,3.748582178982953E-17
437.5523247899104,3.7485427189600216E-17,3.7485427189600216E-17
447.74422771366807,3.748501398631993E-17,3.748501398631993E-17
458.17353055355454,3.7484581323748365E-17,3.7484581323748365E-17
468.8457630639846,3.748412823573133E-17,3.748412823573133E-17
479.766583803898,3.7483653796801265E-17,3.7483653796801265E-17
490.94178313700627,3.748315697224743E-17,3.748315697224743E-17
502.377286301916,3.748263673819019E-17,3.748263673819019E-17
514.079156553773,3.7482091961211435E-17,3.7482091961211435E-17
526.0535983790763,3.748152148973147E-17,3.748152148973147E-17
538.3069607853835,3.748092413724039E-17,3.748092413724039E-17
550.8457406676333,3.7480298588526135E-17,3.7480298588526135E-17
563.6765862528911,3.747964357149397E-17,3.747964357149397E-17
576.8063006253212,3.74789576306414E-17,3.74789576306414E-17
590.2418453332775,3.7478239345610836E-17,3.7478239345610836E-17
603.9903440804032,3.7477487176257836E-17,3.7477487176257836E-17
618.0590865027185,3.747669954496514E-17,3.747669954496514E-17
632.4555320336759,3.747587475708439E-17,3.747587475708439E-17
647.1873138592563,3.7475011058102417E-17,3.7475011058102417E-17
662.2622429651823,3.747410661040641E-17,3.747410661040641E-17
677.6883122784055,3.7473159507939E-17,3.7473159507939E-17
693.4737009050634,3.7472167700925405E-17,3.7472167700925405E-17
709.6267784671508,3.747112913054478E-17,3.747112913054478E-17
726.1561095402029,3.747004154251311E-17,3.747004154251311E-17
743.0704581943456,3.746890263931833E-17,3.746890263931833E-17
760.3787926411226,3.746770998385793E-17,3.746770998385793E-17
778.090289988561,3.746646107428495E-17,3.746646107428495E-17
796.2143411069948,3.7465153178921995E-17,3.7465153178921995E-17
814.7605556082253,3.7463783588423974E-17,3.7463783588423974E-17
833.7387669406711,3.7462349361555615E-17,3.7462349361555615E-17
853.1590376031852,3.7460847416788947E-17,3.7460847416788947E-17
873.0316644803323,3.7459274569235444E-17,3.7459274569235444E-17
893.3671843019262,3.7457627470212777E-17,3.7457627470212777E-17
914.1763792297505,3.745590259390817E-17,3.745590259390817E-17
935.4702825743964,3.7454096301232004E-17,3.7454096301232004E-17
957.2601846452771,3.7452204688582866E-17,3.7452204688582866E-17
979.5576387368924,3.745022375174066E-17,3.745022375174066E-17
1002.3744672545452,3.744814925187849E-17,3.744814925187849E-17
1025.7227679827297,3.744597674193316E-17,3.744597674193316E-17
1049.6149204995447,3.744370162482187E-17,3.744370162482187E-17
1074.0635927405056,3.744131900328497E-17,3.744131900328497E-17
1099.0817477152498,3.743882380495459E-17,3.743882380495459E-17
1124.6826503806983,3.743621070118202E-17,3.743621070118202E-17
1150.8798746743134,3.7433474057994065E-17,3.7433474057994065E-17
1177.687310711178,3.7430608069583816E-17,3.7430608069583816E-17
1205.1191721487164,3.742760659168036E-17,3.742760659168036E-17
1233.1900037229645,3.7424463184787654E-17,3.7424463184787654E-17
1261.9146889603862,3.742117111955018E-17,3.742117111955018E-17
1291.3084580693114,3.7417723346363556E-17,3.7417723346363556E-17
1321.386896015193,3.741411246792498E-17,3.741411246792498E-17
1352.165950783964,3.7410330748354774E-17,3.7410330748354774E-17
1383.6619418378727,3.740637003666814E-17,3.740637003666814E-17
1415.8915687682763,3.7402221862086256E-17,3.7402221862086256E-17
1448.8719201499798,3.739787728847999E-17,3.739787728847999E-17
1482.6204826018356,3.7393327003767646E-17,3.7393327003767646E-17
1517.1551500583673,3.738856117761326E-17,3.738856117761326E-17
1552.4942332573842,3.7383569570953173E-17,3.7383569570953173E-17
1588.6564694485628,3.7378341447560174E-17,3.7378341447560174E-17
1625.6610323281993,3.737286548342287E-17,3.737286548342287E-17
1663.527542205342,3.7367129898306014E-17,3.7367129898306014E-17
1702.276076404754,3.7361122318607604E-17,3.7361122318607604E-17
1741.9271799121614,3.7354829724381643E-17,3.7354829724381643E-17
